keyword,closeness
based on novel or book,19.391221702572818
california,18.007939508004704
england,17.963200853358313
murder,17.926547225172683
based on young adult novel,17.711746731237483
los angeles,17.123849394306685
london,17.110314660060094
sibling relationship,17.043502975995686
amused,17.038216134983962
revenge,16.974091729620998
loss of loved one,16.812807542246833
friendship,16.649791629552503
conspiracy,16.631684167645012
good versus evil,16.565791066231764
villain,16.490280592793518
france,16.46338883278141
sequel,16.296285587915886
survival,16.273038846961413
dramatic,16.22820974187151
woman director,16.19336205243379
new york city,16.18334293199315
dystopia,16.170670147180374
husband wife relationship,16.152514387437638
san francisco,16.101972048905626
witch,16.042396476897338
love,16.023676679709208
police,15.961180701292713
paris,15.94183700778874
journalist,15.925384325185156
neo-noir,15.806339166509805
detective,15.801756377991822
remake,15.777861425343442
tragic,15.717699904653958
future,15.691307941028825
based on true story,15.660126534967137
romantic,15.656114383339204
based on comic,15.607073210304657
new love,15.568994607354346
intense,15.519530575953972
romcom,15.508878745471407
serial killer,15.5078201923806
wizard,15.502398610321995
vampire,15.462615324064556
alcoholic,15.458558597676557
superhero,15.451338795684789
drugs,15.421838145998697
faith,15.40336854868496
1970s,15.354049436740043
family,15.35186867542237
extramarital affair,15.308873526159552
obsession,15.299306310640155
suspenseful,15.296244325870498
dying and death,15.289303262954835
martial arts,15.23539573079107
inspirational,15.187025989867042
exhilarated,15.106196030938083
magic,15.101861653839535
appreciative,15.098318356530198
manhattan,15.072117368012623
alien,15.067424411840861
fantasy world,15.044354187972063
fight,14.987209000302823
1940s,14.917222156652562
earnest,14.897137776247696
anxious,14.867557471883185
time travel,14.858528881095504
whodunit,14.842604867134929
black magic,14.84093266037961
based on children's book,14.839736617818243
high fantasy,14.830132493249923
teen fantasy,14.806380303955184
family relationships,14.795210285911907
stop motion,14.764086697593248
shootout,14.758458856471346
saving the world,14.752262086329294
frantic,14.738229376424057
frightened,14.725167430776185
complex,14.710849673404416
19th century,14.680052241942015
biography,14.679495488069518
christmas,14.635732484353328
hospital,14.634733865970272
money,14.625934416220092
kingdom,14.615276075317876
coming of age,14.58153381964542
investigation,14.539873274765997
psychopath,14.534988047786069
teacher,14.518319283771532
adultery,14.490997399915765
relationship,14.421525930069924
world war ii,14.4117563335944
kidnapping,14.379135524410055
parent child relationship,14.369994860735734
sports,14.366768052288979
supernatural power,14.364291170264629
wedding,14.350361832163632
action hero,14.339616391745423
spider,14.314119495378636
1960s,14.303756268531393
musical,14.28654361686737
high school,14.27922908467149
post-apocalyptic future,14.272715004939823
school,14.253928784293596
ghost,14.220780404460442
anthropomorphism,14.177143005176807
animals,14.170309228581004
romance,14.161461532532421
super power,14.158610388389967
school of witchcraft,14.150551461676633
anime,14.116877753632213
fbi,14.08741522011403
religion,14.082942165101608
dreams,14.080089291643073
audacious,14.060020947707834
torture,14.043176954989256
doctor,14.03121475675263
female friendship,13.887505628282868
vibrant,13.840171621694905
talk,13.839093613072938
prince,13.832614103466218
hilarious,13.830186267238734
steampunk,13.813657155501003
parallel world,13.806280463615005
brutality,13.786820780192585
talking animal,13.744269203561887
lion,13.743408990454988
alcohol,13.741063921034677
prophecy,13.729294200651497
death,13.706348161779824
best friend,13.67316897029317
partner,13.669756660564273
reporter,13.667459971016168
secret,13.656006754220572
bold,13.651773693585522
holiday,13.646990802736342
angry,13.644082206022548
criminal organization,13.633273333034424
hotel,13.57324953586979
awestruck,13.56267342349188
battle,13.547734971682887
alien invasion,13.54593130475464
disaster,13.534117070689417
dog,13.525832920677786
hostage,13.519035124840462
complicated,13.51895542079462
ambiguous,13.479446968216996
based on video game,13.473165234345668
isekai,13.465052561574526
secret identity,13.454475402076651
sarcastic,13.452854207618884
dragon,13.451720898058289
philosophical,13.446623269407512
antagonistic,13.43748972668873
daughter,13.427998621610191
mask,13.426525126252002
melancholy,13.421000357478436
hero,13.413527045872971
airplane,13.411996187353889
commanding,13.399373717655276
teen movie,13.390464725603485
introspective,13.382277956825826
exuberant,13.372365499314768
loving,13.36630887159831
transformation,13.340516182895875
china,13.33910803601006
road trip,13.336796811688991
whimsical,13.323439472069444
farcical,13.302865040010248
corruption,13.295032129989417
optimistic,13.273616184182854
island,13.242849813517898
vampire human love,13.238665178212871
interspecies romance,13.238665178212871
restaurant,13.228771518798796
cautionary,13.215814379911638
sadism,13.21259607550741
rape,13.209300566681158
euphoric,13.204333238846319
sympathetic,13.20102735502401
pets,13.196491556529768
independent film,13.195867576605373
italy,13.19135044767447
catholicism,13.191133628508277
somber,13.191079994047751
chosen one,13.186620657098938
reflective,13.179517746710138
matter of life and death,13.176442557578548
teenage hero,13.171210855977904
pentagram,13.162642703573267
friends,13.15204875163459
slapstick comedy,13.151496959205343
scientist,13.147532536822691
gore,13.127204274545443
fashion magazine,13.120963520731909
super villain,13.116572336895938
based on tv series,13.102547336115887
forbidden love,13.100145308834705
india,13.091945186052403
loneliness,13.089726978044148
space,13.080396215391568
embarrassed,13.077777222802395
callous,13.072370034254384
museum,13.071296957633134
defiant,13.06814707163527
1980s,13.0597695066313
powerful,13.047052481836145
mourning,13.035451325805095
government,13.032905980885847
small town,13.030948415801909
kung fu,13.012462793298573
hopeful,13.012183672289845
sibling rivalry,13.01030640869125
gangster,13.004936910965771
period drama,12.994732050168718
on the run,12.992302261660805
germany,12.986950634409274
infidelity,12.98553753869792
desert,12.9810285319443
space travel,12.968254131214843
marriage crisis,12.962414182192509
sentimental,12.958918289194306
uncle,12.942710998386586
single mother,12.942185293100762
greed,12.933842648681654
monster,12.931347055669328
disheartening,12.930569164926684
father,12.925358374426425
royalty,12.913118122243118
shounen,12.898630093721499
casino,12.898622989223998
mythical creature,12.895634723161022
animal lead,12.895541078718777
chase,12.894774464752519
teenage girl,12.892014945931361
wretch,12.891706097947742
desperate,12.889028491649139
police detective,12.86516723555351
scathing,12.853066354529144
cheerful,12.851411673611445
american football,12.840535473066424
suicide,12.82927460686354
flirt,12.816074791655758
terrorism,12.8109507981758
adventure,12.810592408659643
military,12.807697387074153
suburbia,12.806057048360854
gang,12.795027840772438
tense,12.793438948271922
18th century,12.779355225637753
immortality,12.774950589871525
slasher,12.751261495229151
princess,12.74486707227536
zombie,12.73492719950304
teacher student relationship,12.734418015520326
trailer park,12.732896072704166
based on graphic novel,12.718523965879328
fashion,12.718457703346413
fashion journal,12.718457703346413
alaska,12.711976745491757
assassination,12.710453479479185
pipeline,12.70323000397937
blackmail,12.698976907508607
jealousy,12.697333370611453
fire,12.69672047553242
aggressive,12.689518047520059
car crash,12.680873816913104
hope,12.677568980212813
nazi,12.676954541800177
pedophile,12.676284361356993
enthusiastic,12.67333971051647
american dream,12.671687737804982
superhuman strength,12.667486500298558
marijuana,12.66732454214697
nostalgic,12.665418145023404
letter,12.662913690648377
desire to have children,12.659057254360897
betrayal,12.646951094886361
love affair,12.646018846048976
crime fighter,12.640650889004576
spy,12.640135766428532
louvre museum,12.638147586289753
tree,12.629891598900118
love of one's life,12.629244760671545
supernatural horror,12.624159695923105
killer,12.622831790125229
lovers,12.621068018414814
grieving,12.620573187526823
spacecraft,12.619897138870067
enraged,12.60484493834357
orphan,12.582072182187567
church,12.575160796228616
prejudice,12.564024763858244
vigilante,12.558683306961978
army,12.558199156466342
historical fiction,12.558134941263917
victorian era,12.552014530865458
war crimes,12.541286867988457
sword and sorcery,12.533333074188539
housewife,12.51391284494491
ship,12.513038899269873
artificial intelligence (a.i.),12.511582674929333
werewolf,12.499686404852497
provocative,12.49953157504194
massachusetts,12.497789274757453
boston,12.497789274757453
rescue mission,12.48906268179896
victorian england,12.485509079631154
japan,12.478252192494143
based on movie,12.461060765805877
theft,12.453591769357342
alcoholism,12.452722337545616
soulmates,12.450726159189166
surveillance,12.449379730180532
unresolved issues,12.448011528703358
robbery,12.444407807839797
penguin,12.441337067191695
admiring,12.434867231372849
inflammatory,12.42041245231404
gay theme,12.415227339271109
ninja,12.405017946755166
familiar,12.403636832963473
ominous,12.402397953911878
human clone,12.397698852177626
joyful,12.395231183022167
killer robot,12.39272169780807
gas station,12.390619840561397
bridesmaid,12.384025669812873
trauma,12.381510494152238
rivalry,12.369073728774433
dignified,12.358716128394747
chaos,12.357248641773714
cyberpunk,12.35158900377127
bakery,12.351576240202872
absurd,12.350458206621003
writer,12.348272925378694
genius,12.346654874222576
supernatural,12.344686615214618
forgiveness,12.343456387641119
curious,12.340800186393194
bar,12.328202279622941
architect,12.32706900078241
giant robot,12.32596278258739
foreboding,12.320233036018294
assassin,12.319897894145722
luck,12.316543034985779
date,12.310160957783898
child kidnapping,12.309809053134376
lgbt,12.30902186471623
arrest,12.305743784391726
biting,12.299177953750409
forest,12.289029758769118
elves,12.280237691980187
africa,12.271982196456852
cartoon,12.267901358633585
lust,12.267416238541923
mother,12.250845863897075
zoo,12.248256004747878
success,12.245258616540067
flashback,12.24263497809533
first love,12.242610823648407
mystery,12.24238584652007
celebratory,12.237228502911345
flying,12.23318027537488
fake identity,12.23001941748802
killing,12.220684844426899
witty,12.20430702610273
teenage love,12.199314282683329
apathetic,12.196003368197038
creature,12.19530231723782
marriage,12.194169930798822
victim,12.194111050505823
malicious,12.182414212838022
prisoner,12.179273984399114
homophobia,12.17177324110223
zebra,12.164349840076136
lemur,12.164349840076133
madagascar,12.164349840076133
giraffe,12.164349840076133
hippopotamus,12.164349840076131
fourth of july,12.162250367069564
explosion,12.157691995540906
pirate,12.149859641726735
dream girl,12.149500890169529
code,12.14197818949304
boarding school,12.140370241872894
ice age,12.135194217655952
prostitute,12.133696933667384
cruelty,12.126931268005377
fairy tale,12.11305097628906
wuxia,12.111295601756147
violence,12.102834936627339
playful,12.101751586930577
petrol,12.100025347711668
undercover,12.091195982037087
bride,12.087265223292114
cartoonist,12.081220540892424
based on play or musical,12.080758259813877
newspaper,12.077305021530588
politician,12.069147621244094
female villain,12.065208228205742
widow,12.065046350382374
countryside,12.05999223734683
florida,12.042575748952494
satire,12.040610625176933
politics,12.039238170595798
sardonic,12.026961047380354
male homosexuality,12.020813307729052
ambivalent,12.020167938267068
hitman,12.011140340205145
cynical,12.010399468121157
usa president,12.0076851135188
lighthearted,12.006540357747015
espionage,12.00088823526543
dirty cop,11.999004276140854
south africa,11.996463945282235
falling in love,11.996223329561222
candlelight vigil,11.989259959599861
morality,11.986074984276067
empathetic,11.98208265094055
dating,11.9790423412138
disaster movie,11.976972006435881
sadistic,11.971544409007981
mayor,11.964651618113516
vision,11.953429396145937
brooklyn,11.944172010165872
macabre,11.916537792461753
blended family,11.91379549420365
stepfather,11.911871152090171
dual identity,11.910621086678862
secret society,11.907309915284861
competition,11.90540212697076
widower,11.904512982840084
new year's eve,11.90376927559542
helicopter,11.90042357187132
assertive,11.89971096021536
honeymoon,11.899524866814051
sewer,11.889719262921913
suffering,11.882953787820904
tragic hero,11.867774977251564
grave,11.864234766814524
narration,11.857299992230617
pretend relationship,11.855097449724743
demon,11.847710600652064
enchant,11.838954945928378
compassionate,11.836780872813737
undercover cop,11.832883130793789
1990s,11.832248203131382
hostility,11.827846451998564
assistant,11.826156406023108
berlin,11.825072711424712
teen comedy,11.824874587202316
single,11.823925189541733
mutant,11.81929803746101
hoodlum,11.818191550892529
3d animation,11.809857621040232
justice,11.804737406202122
buddy,11.802616454363259
lone wolf,11.801254098098726
female protagonist,11.788899267846348
corpse,11.786699933658456
affectation,11.782667290879928
female corpse,11.759039785038558
volcano,11.745236791838224
south korea,11.744184891659305
based on manga,11.737167199460417
teenage boy,11.73512744551253
self sacrifice,11.732521950348394
single father,11.720690850666728
garbage,11.720406136401763
pianist,11.708400179375722
giant wave,11.704876621640329
time,11.702890932055482
irreverent,11.695371395355101
slavery,11.694549945069687
live action and animation,11.686627635178175
break-up,11.672986921993514
heir to the throne,11.669364287086854
dance,11.667370279762546
patient,11.663682716364866
ex-husband ex-wife relationship,11.661231132721467
robot,11.658987662298967
rat,11.650517457238156
dysfunctional family,11.649662047877754
prison,11.648794083981018
unlikely friendship,11.645181156893806
car race,11.634463873616847
fog,11.632506298495132
travel,11.628333343163204
summer,11.627703269627103
grizzly bear,11.62577098227672
college,11.617326399334633
funeral,11.603422239635696
garden,11.59920915294441
sexual predator,11.59519051952256
mouse,11.5951694511805
hunter,11.589817053686842
occult,11.586663607228083
ghost town,11.586322675955575
double cross,11.577556524780963
bank robbery,11.576626027425569
computer hacker,11.574779345873118
nypd,11.573023535123129
queen,11.564713468860559
slovakia,11.563348729321094
poison,11.554188281507805
gothic,11.551288688931487
sadness,11.550064859876317
lake,11.548286084566469
divorcee,11.54744701887983
foot chase,11.546458840969771
elasticity,11.540959386997173
invisibility,11.540959386997173
concert,11.53276597747836
las vegas,11.53097105391129
loner,11.530525619559214
malibu,11.527526444817184
peasant,11.519598832789795
christmas romance,11.513769437140397
couples therapy,11.508127962177026
grand,11.50016673911944
neighbor,11.496164295774147
vatican (holy see),11.495573923171877
approach,11.490777744339608
nightclub,11.485750812479965
author,11.476559887680768
harsh,11.474103293021896
confidence,11.464862542959757
antarctica,11.461522348326184
motherly love,11.45276592121576
based on short story,11.444271951858223
shanghai,11.442114555547123
king,11.441293425129276
psychotronic film,11.439223476242503
religious fanaticism,11.43672599365871
fish out of water,11.433607139141369
ex-girlfriend,11.433201809568828
family holiday,11.424789891260662
ax,11.424587071322152
hostage situation,11.417130826841065
teachers and students,11.415711604309179
organized crime,11.412526699204085
wonder,11.410220771319215
child abuse,11.409803577340567
ultimatum,11.40885933409808
bullying,11.40242499600206
genetics,11.39664977195273
authoritarian,11.393530688519533
secret love,11.38537683663094
dystopian sci-fi,11.384875426624335
mentor,11.378682475268286
drowning,11.37076751964629
rome,11.370338147030148
pocket monsters,11.356044284175415
runaway,11.345602722316457
escape,11.328939445328041
twin brother,11.326529568559403
journalism,11.321686675811504
nature,11.315201703396651
marvel cinematic universe (mcu),11.308804802662726
end of the world,11.304609265218554
adoring,11.302786678862875
