keyword,closeness
based on novel or book,2002.9898103232729
magic,1998.0083081605167
fantasy world,1984.5032980432784
wizard,1982.385278310656
castle,1981.0139582175887
good versus evil,1978.8554997370913
elves,1977.3954796546532
live action and animation,1973.6631495837732
bravery,1973.4970216973127
sword and sorcery,1973.459798419697
obsession,1973.4329907805895
journey,1972.9688055483355
dwarf,1972.9079773411615
trekking,1972.834004103751
ring,1972.834004103751
wraith,1972.834004103751
hero's journey,1972.834004103751
sequel,1969.2762011956588
witch,1968.9740533028196
ghost,1960.8783906128792
based on young adult novel,1960.2459817409003
child hero,1959.17574622853
teen fantasy,1959.1420519106007
school of witchcraft,1959.1420519106007
hopeful,1956.7123201097604
army,1954.7415400974317
brutality,1953.343151223667
split personality,1950.029871259581
high fantasy,1949.7754543976002
winged creatures,1949.7754543976002
battle,1947.3101523574474
friendship,1941.3736173716572
school,1940.9264588074745
villain,1939.4343475904159
school friend,1937.7703922442174
christmas,1932.985497513039
black magic,1926.7687240026928
martial arts,1923.314633504764
giant spider,1922.8894475565844
england,1921.7878045791856
revenge,1919.3345616106926
action hero,1919.1933342706332
london,1917.9317927390177
bullying,1915.8920319332146
superhero,1912.3643300212664
kingdom,1911.418838204794
anthropomorphism,1909.9772305796628
fairy tale,1909.1365425722972
prince,1908.925868679897
ogre,1908.593663211164
secret identity,1907.9932506086795
murder,1907.8796372425866
new york city,1906.365833443546
liberation,1906.1944832765155
amnesia,1906.011213875487
mission,1904.5902008406085
princess,1904.2998375262976
dragon,1904.0655140302638
quirky comedy,1903.9135769503835
enchantment,1903.9135769503832
cartoon donkey,1903.9135769503832
parent child relationship,1899.0635607450213
california,1898.9078879976641
male friendship,1897.0901214639953
boarding school,1895.9628262747271
children's adventure,1895.8362321316506
pre-teen,1895.62624768675
based on comic,1895.0569483587285
dystopia,1894.3590922048281
kung fu,1894.2015028550725
invisibility,1892.0320190428354
sword,1890.835785890271
mountain,1888.367934722717
epic battle,1887.1194270501023
war,1886.8205754721434
demon,1886.608838959294
honor,1882.2692240845608
king,1881.7091332346386
quest,1881.3977380601123
admiring,1880.9009188288928
flying,1880.4989116147326
intense,1880.3696242370388
maze,1879.2671348454464
uncle nephew relationship,1879.20347662209
flashback,1878.9409956075444
hero,1878.7753505523672
loss of loved one,1878.684356242637
time travel,1876.990367175329
super villain,1876.2505476798858
love of one's life,1876.1704319792184
