keyword,closeness
based on novel or book,2648.6970650232242
based on young adult novel,2597.209159706879
sequel,2571.1078398044647
dramatic,2565.2183932096655
england,2556.958255633311
witch,2556.827155574806
inspirational,2547.7326124130323
wizard,2538.5422988156197
amused,2537.6366385429424
teen fantasy,2535.6561820576294
based on comic,2535.571402905913
dying and death,2534.433948504863
magic,2533.264939833669
good versus evil,2532.835055743434
california,2531.311954194058
murder,2530.364659923223
christmas,2525.9979317969564
ghost,2523.421319582626
school of witchcraft,2523.1172086771967
superhero,2521.4310270445912
london,2515.3146307874035
black magic,2514.5097355301446
dystopia,2513.646130695529
bold,2500.974691003793
suspenseful,2500.4722000699135
exhilarated,2496.605573570467
france,2495.8141946574933
paris,2491.8484563578663
sibling relationship,2489.7879533996684
school,2489.687691842755
new york city,2487.7173876484926
loss of loved one,2486.6860977188912
villain,2483.9724616770045
super power,2478.553644013858
detective,2478.4672860078194
conspiracy,2477.727874632452
appreciative,2476.6874203028087
neo-noir,2476.4768898642324
enthusiastic,2476.3270405139865
secret identity,2475.2513289904487
tragic hero,2473.5138865044005
journalist,2472.518698234124
hopeful,2472.355390301302
earnest,2467.022769290856
vigilante,2465.3787688203465
tragic,2464.4277403701226
serial killer,2463.9291140149116
crime fighter,2463.781656220389
los angeles,2462.4248732499286
scientist,2461.425135509007
battle,2460.838988670427
intense,2460.081054779143
alcoholic,2455.012346033983
saving the world,2453.8983253361666
super villain,2451.5639263417793
whodunit,2448.8185935401125
dragon,2448.0332366317407
space travel,2444.353175518078
grand,2443.954458963286
revenge,2443.463089070095
distant future,2443.2569060042824
anxious,2440.474248477266
nature,2439.4112574883093
love affair,2439.3725774672057
cryonics,2438.7192531364344
soldiers,2438.690112826982
indigenous,2438.5015561198657
tribe,2438.392722185792
alien planet,2438.17508345956
organized crime,2438.0853677379773
19th century,2436.5224539690057
chosen one,2435.9538846700416
vision,2435.57616701975
vampire,2435.3296754999465
san francisco,2432.5692086205377
survival,2431.6987359248355
martial arts,2429.2279324354904
teenage hero,2427.5959944473357
sadism,2427.1001768805904
boarding school,2425.711789856643
chaos,2424.299399563826
anti hero,2419.1987506382193
criminal mastermind,2418.326092507682
district attorney,2418.3260925076816
frightened,2417.1765711994362
friendship,2417.119641774147
supernatural power,2414.196580078153
police,2408.7662176775
hilarious,2407.5210479930975
teen movie,2406.005612167104
frantic,2405.961283198628
steampunk,2405.191351286149
romantic,2404.721312087106
interspecies romance,2404.1203022068885
vampire human love,2404.1203022068885
pets,2402.316408618957
mermaid,2399.506927584059
partner,2399.485661557517
werewolf,2399.460221289457
world cup,2399.333632881945
rivalry,2398.8489573366214
tournament,2398.683591346973
matter of life and death,2396.0569298098667
pentagram,2395.370456418599
gore,2394.315378852842
anthropomorphism,2392.8211103802246
fantasy world,2392.328234521134
marvel cinematic universe (mcu),2392.2673312617844
somber,2391.574105659578
money,2390.9953654320993
undercover,2389.983156290541
complex,2387.8521335269875
absurd,2385.930061079584
high fantasy,2385.52362529081
philosophical,2382.9559465931766
loneliness,2375.5401145711285
post-apocalyptic future,2374.8887536670145
teenage love,2374.1921680318583
lion,2371.7681288603426
india,2370.7062270594943
supernatural,2370.2510092970206
stop motion,2370.0917834902175
based on children's book,2366.9789727842763
ninja,2361.505858062355
luck,2361.3663999649743
irreverent,2359.765775729482
government,2358.4137578507916
haunted by the past,2355.5696202880536
zombie,2355.1164487299943
grave,2355.075271503409
1940s,2354.750057361292
