keyword,closeness
based on novel or book,3553.648293853739
dystopia,3515.468015856836
based on young adult novel,3511.1088260056135
sequel,3471.8722635768836
intense,3454.1102970968273
villain,3442.1810939979937
friendship,3438.2353353701437
amused,3431.3017420844353
fantasy world,3421.667001819891
future,3406.5496811556345
california,3390.362007459805
whimsical,3390.0424433899025
sentimental,3386.420530669726
female protagonist,3386.2851111545356
investigation,3382.6859453940365
post-apocalyptic future,3381.938733909282
based on comic,3380.454292395033
hilarious,3380.386441985986
romantic,3379.823717101373
game,3376.8269264616333
superhero,3373.5597897735497
wizard,3372.2914341751884
hopeful,3372.123896903833
magic,3367.552672791752
affectation,3365.514891951292
good versus evil,3357.883472406152
based on true story,3355.968687744831
rescue,3353.824385322495
cynical,3352.6870114645003
admiring,3351.4427887063525
revenge,3350.753564915913
spacecraft,3347.691323956197
live action and animation,3346.851337034778
dragon,3345.046035180694
high fantasy,3344.142408316919
space,3343.1515048013766
dramatic,3337.3234055618273
new york city,3336.14181304601
infidelity,3334.1890481413075
murder,3333.5344066061143
marvel cinematic universe (mcu),3332.164765124516
psychological thriller,3331.526802731748
sword and sorcery,3331.489038827898
artificial intelligence (a.i.),3329.739225987941
island,3328.006479894906
troll,3328.001593008315
robot,3326.518968462677
corruption,3323.64344927437
mountain,3322.617255023449
elves,3322.411056957361
dwarf,3322.264556977134
invisibility,3322.264556977134
ring,3322.264556977134
scientist,3316.2432829228856
race against time,3315.799723051254
sincere,3315.01645924676
spy,3311.675579188789
los angeles,3310.973596049496
witch,3310.8243842340144
space station,3310.1475431663666
adoring,3309.935977836775
whodunit,3308.817556755785
compassionate,3308.236737695826
excited,3300.506991291944
werewolf,3299.223889314562
christmas,3299.2019657847113
bow and arrow,3298.331668411167
death,3296.077610287717
survival competition,3294.6763650057223
drugs,3288.525431458052
aggressive,3285.797769258798
celebratory,3285.082054242099
anxious,3282.12143906224
pennsylvania,3280.935332530274
france,3279.0198983182177
virus,3273.5818026773627
ghost,3273.5045582873413
san francisco,3272.990843841984
kidnapping,3270.8003322996115
astronaut,3270.6318782340336
neo-noir,3270.028206314167
father daughter relationship,3268.755585408151
teen fantasy,3267.6750503063327
intimate,3267.261598184471
single father,3266.7699722491425
euphoric,3265.6353848769395
space travel,3264.5359009024396
family relationships,3264.5002267576356
time paradox,3264.3227030735934
space adventure,3264.196242703002
farmer,3263.7135645222993
nasa,3263.3705324971193
nostalgic,3262.035434922141
escape,3261.8651571115124
shield,3260.188366503147
empathetic,3259.697402444515
