keyword,closeness
sequel,1382.0822750962552
superhero,1373.1174077868923
hero,1366.4395185179828
based on comic,1366.1063799872763
villain,1363.1650438377876
new york city,1358.9241513536972
marvel cinematic universe (mcu),1357.419002498293
superhero team,1345.4066446048994
murder,1344.5110687076221
loss of loved one,1342.4612156745131
woman director,1342.116493184802
intense,1341.6318402940599
dc extended universe (dceu),1340.0427080512893
alien life-form,1337.4043512570117
superhero teamup,1336.245791235076
vigilante,1335.8574688889441
teen superhero,1333.2590103241087
portal,1332.840779733632
magic,1328.916800330303
secret identity,1328.679767326526
anti hero,1327.9607246580294
psychopath,1324.6407355005094
family,1324.1869971883966
ambiguous,1322.2632522278316
alternative reality,1320.4956022424574
revenge,1318.9886515620674
betrayal,1318.6907869712302
admiring,1315.7497025735865
dramatic,1313.2845478488605
suspenseful,1312.8764410187555
super power,1312.7880990197814
hopeful,1312.3642236832388
spider web,1312.2523983524115
bold,1312.243978442112
audacious,1311.81329856376
teamwork,1311.2088039779185
showdown,1311.0840340340862
war,1310.7780688104967
based on novel or book,1308.3300681326104
female protagonist,1305.6979493758718
nightclub,1304.0975103820153
organized crime,1303.3575446272441
police,1302.2293693200097
cheerful,1294.9652234209168
absurd,1292.8462496756583
illumination,1290.7056683113892
super villain,1289.8304424079367
distant future,1289.7703214172814
detective,1288.8223528474575
anthropomorphism,1288.2443128755383
tense,1288.1765049638584
parenting,1287.68160864995
alien,1286.5209091777435
grand,1285.9581661251518
breaking the fourth wall,1285.058884499603
gore,1284.5148036119426
lighthearted,1284.3956999627699
teenage girl,1281.5884480991758
resurrection,1280.9071721467203
hilarious,1280.8585707589834
fear,1279.93900030317
brooklyn,1278.97377450359
demon,1277.364130885153
excited,1277.2738065532526
creature,1275.540579429216
awestruck,1274.8202517090442
spy,1274.7648579528277
amused,1274.356080787856
space opera,1272.3856291672726
reflective,1271.8615107648347
sentimental,1271.4336567185073
supernatural,1271.3238605145239
earnest,1271.0082146132054
satire,1270.9549582860886
compassionate,1270.9452769503202
lgbt,1270.7097335609074
mother son relationship,1270.7055316020003
desert,1270.3920492562722
police detective,1269.5190083647803
sand dune,1269.4034291110352
messiah,1269.4034291110352
destiny,1269.4034291110347
giant worm,1269.4034291110347
giant creature,1269.4034291110347
adopted child,1268.9476894894447
dystopia,1268.788491403658
vengeance,1267.690191548163
adopted son,1267.568975892625
modest,1267.0475502646848
stereoscopic film,1267.0000810735912
alien planet,1266.926499214232
dysfunctional family,1266.7500477096708
dying and death,1266.665823372055
family dynamics,1266.6555046672427
martial arts,1265.9958213511738
spin off,1265.0900449047544
meditative,1265.054004104711
serial killer,1264.6148758331976
cliffhanger,1264.5139117602314
friendship,1264.2394940360468
future,1261.594131298878
prophecy,1260.6774373813105
survival horror,1260.3942799753036
romance,1259.5458532412206
army,1259.473476420157
anxious,1259.0297855129295
interdimensional travel,1258.275976532345
nuclear weapons,1258.168345332524
aggressive,1257.9791020412922
empire,1257.7707423302818
based on true story,1257.3239925897897
knife fight,1256.66881033999
mad scientist,1256.6313194148631
space,1256.5574884940577
treason,1256.5526643012142
sympathetic,1256.1148383963455
antagonistic,1255.8515491029632
cars,1255.7013053375506
orphan,1255.0992219836662
1970s,1254.9613926166796
cliché,1254.599382259804
female superhero,1253.9623539284546
alternate dimension,1253.9614556112256
witty,1253.7848132472093
sacrifice,1253.7381300649658
teen social issues,1253.715827398907
teenage romance,1253.5681625286225
alternate version,1253.565126473467
world domination,1253.497959210594
mexico,1251.6054275680315
3d animation,1251.384679762638
whodunit,1250.9963136957056
assassin,1249.9844344142107
halloween,1248.489516634929
crime fighter,1248.4356354767199
nostalgic,1247.6226223393053
florida,1247.42008840056
giant monster,1247.3567446877043
sign languages,1246.6166065952898
chase,1244.741279530697
husband wife relationship,1244.286782794331
crime family,1243.6177230957062
shootout,1243.4382894071923
vigilante justice,1243.1984466371719
origin story,1242.6462575864446
melancholy,1242.4790047428762
hand to hand combat,1242.3201319763284
brother brother relationship,1242.1557671365822
supernatural power,1241.9977405896602
criminal,1241.9654867661275
police officer,1241.8275119644127
female police officer,1241.8275119644127
mobster,1241.7647134370377
death of family,1241.7504513389147
neo-noir,1241.5589575496526
miami,1239.847167487962
buddy cop,1239.7354288668364
dark comedy,1238.92981678827
coming of age,1238.686982082231
survival,1238.5602214962134
1980s,1238.367702449737
slasher,1238.1216785437937
alien invasion,1237.8613048875518
joyous,1237.8176043824888
military,1237.6656833738841
death,1236.9492798670851
murder investigation,1236.7032637935388
political corruption,1236.0287802889293
doll,1235.9382381826076
dinosaur,1235.8476994307043
flashback,1235.6507486203254
monster,1235.5415141075418
post-apocalyptic future,1235.3776154267891
alien monster,1234.485244703075
body horror,1234.27059542164
mysterious,1234.1364951174562
guilt,1232.7128518687423
mother daughter relationship,1232.6989651991498
fighter pilot,1232.4073503662005
the conjuring universe,1231.1640489957078
