keyword,2000_2004,2005_2009,2010_2014,2015_2019,2020_2024,mean_rank_slope
aging,1530,1662,1576,768,648,265.8000000000001
dysfunctional relationship,1530,1662,1576,1391,340,265.1000000000001
evil tyrant,1530,1662,1576,1391,344,264.3000000000002
religious horror,1530,1662,1576,1391,346,263.90000000000015
infiltration,1530,1662,1576,328,881,263.2000000000003
ghostbuster,1530,1662,1576,1391,351,262.9000000000001
new york state,1530,1662,1576,756,670,262.6
violent death,1530,1662,408,1391,354,262.30000000000007
second part,1530,1662,1576,1391,356,261.9000000000002
detached,1530,1662,788,1391,359,261.3000000000001
violence,1290,271,67,85,77,261.20000000000005
breaking the fourth wall,1388,1662,1424,879,479,260.10000000000014
loss of virginity,1530,1662,1431,1391,366,259.90000000000026
eroticism,1315,904,1401,188,374,259.8000000000001
alligator,1530,1662,1576,958,584,259.60000000000014
murder investigation,1530,1242,619,510,604,258.4000000000002
kaiju,1018,1387,824,229,306,258.20000000000016
football (soccer) fan,1530,1662,1576,1391,375,258.1000000000001
naples,1530,1662,1576,1391,376,257.90000000000003
evolution,1459,1662,1576,562,725,256.80000000000024
wolf,1530,1488,896,969,508,256.30000000000024
barn,1530,1662,1576,1391,384,256.3000000000001
pornography,1530,1395,1576,1391,252,256.0000000000002
nonbinary director,1530,1662,1576,1391,386,255.90000000000015
found footage,1475,1098,80,801,347,255.30000000000015
space opera,1400,827,1576,340,370,254.7000000000001
copycat killer,1530,1662,1576,1391,394,254.30000000000018
karaoke,1530,1662,1576,1391,395,254.1000000000002
exorcism,1266,1270,359,688,290,253.40000000000006
asian american,1530,1662,1576,1391,399,253.3
murder spree,1530,1662,1576,1391,401,252.90000000000035
live action remake,1399,1121,191,130,634,252.10000000000022
sex worker,1530,1662,1576,1391,408,251.50000000000034
racing,1530,1662,1287,284,962,251.40000000000035
van,1530,1662,848,749,731,251.10000000000025
giant creature,1530,1662,1576,1391,410,251.10000000000016
giant worm,1530,1662,1576,1391,410,251.10000000000016
messiah,1530,1662,1576,1391,410,251.10000000000016
