keyword,closeness
based on novel or book,4.603142173266042
sequel,4.5149657165229335
murder,4.289512991082608
intense,4.258354086832911
based on true story,4.24745063622057
revenge,4.055237513010984
amused,4.020025989260579
woman director,4.014955817906741
suspenseful,4.006060106345697
remake,4.000413355102503
anime,3.979545393616328
new york city,3.9702337559326906
villain,3.9631344777902506
biography,3.9604606198210335
friendship,3.9492134246426343
awestruck,3.9471742066238265
based on comic,3.9425051090507255
england,3.927512000279468
california,3.924293108014945
father daughter relationship,3.9196157156575473
affectation,3.9115221581734905
1980s,3.9066870148710553
magic,3.9038645989002627
parent child relationship,3.8997969693195267
coming of age,3.899701814476981
lgbt,3.890879772218141
high school,3.871148147082537
supernatural,3.8705053827336657
dramatic,3.867072612070261
london,3.861735638997579
dreams,3.8568321399932723
family,3.8539584198896297
appreciative,3.8448179115411274
survival,3.843532984304165
aggressive,3.8433481597989125
superhero,3.841538455051445
comforting,3.831255804956729
gore,3.8295167936940366
japan,3.8258407019796756
compassionate,3.821111352308782
school,3.820519269974144
road trip,3.8205162914449224
romantic,3.8168877696647288
romance,3.8165679848401206
inspirational,3.806489084171247
suicide,3.789336398774229
vibrant,3.7890210135125213
thoughtful,3.7875368395840336
loving,3.7859852725132437
dystopia,3.7842816435122852
love,3.7822565406444837
1960s,3.7746428735081183
1970s,3.7695785359142797
animals,3.767466100439432
husband wife relationship,3.767113707643494
mother son relationship,3.7663037551956244
complex,3.7637753790188833
sentimental,3.7623857307943656
los angeles,3.761941153572914
death,3.7616035183395287
ambiguous,3.759587876447405
empathetic,3.759140009812027
powerful,3.757291171410897
family relationships,3.755785022373325
sympathetic,3.7550446743617183
usa,3.7531844395335323
bullying,3.7478949697942334
central intelligence agency (cia),3.746745185368716
bold,3.746372197036701
based on manga,3.7463069247831884
mysterious,3.744778296532016
racism,3.7444762765365707
france,3.744244463008354
super power,3.7388327163726935
whimsical,3.735026294973645
hospital,3.7349123142337435
dark comedy,3.7340236201404524
sports,3.7340212943735476
demon,3.7308247782567148
adoring,3.730778174265896
exuberant,3.7263281894305265
sign languages,3.7263008100258137
dog,3.7261980709466447
