keyword,closeness
based on novel or book,4.451478629544865
california,3.947347725138533
murder,3.929977943494348
intense,3.913820104585491
revenge,3.912402782163272
sibling relationship,3.901740116625052
new york city,3.8706581237136097
remake,3.8459356941581113
england,3.8440644065546317
france,3.840557219808758
villain,3.8380342680624473
amused,3.837624101517974
loss of loved one,3.833046950734356
dramatic,3.822913869159927
friendship,3.8160376610767996
woman director,3.8138894541990718
sequel,3.8079280893720715
dying and death,3.8031870474926106
paris,3.796930527638695
based on true story,3.79050850358582
love,3.7767582074675032
parent child relationship,3.7617275771970724
family,3.748807508771371
inspirational,3.74761161762943
suspenseful,3.744848572484368
frightened,3.7423660425002496
school,3.7419636066067836
based on comic,3.7406216712781903
bold,3.739868847449549
london,3.721351942255763
police,3.7108161422390906
dystopia,3.7032879025548886
awestruck,3.6860644698439966
anxious,3.682916849773087
martial arts,3.6803060935800205
angry,3.6786958141751933
romantic,3.6750106881468767
neo-noir,3.6742936541591784
tragic,3.6727911296322135
high school,3.6720579100939506
journalist,3.671210622843515
hospital,3.6682729055156567
family relationships,3.6615089576472943
biography,3.6606260783827067
gore,3.6565805288021473
rape,3.655583782163008
antagonistic,3.6471814011535257
gangster,3.6466696190302366
complex,3.639027561405982
secret identity,3.6385116091175327
audacious,3.6326960522199667
1960s,3.6315735138624334
appreciative,3.625369965402424
admiring,3.624421548953256
ambiguous,3.623789103545565
rivalry,3.623461338958326
psychopath,3.6157722819095746
marriage,3.614492121203017
19th century,3.609533765367007
germany,3.6085166673269864
desperate,3.6070163377525315
conspiracy,3.606746379023552
friends,3.603656651738273
loving,3.595827602953622
detective,3.5947470442410743
serial killer,3.594706914488495
new love,3.593536579109444
alcoholic,3.5916782606542976
fight,3.5914537077783626
investigation,3.5902213344026555
torture,3.586859406608338
exhilarated,3.5855290627564256
musical,3.585462561681974
superhero,3.5849631065564944
time travel,3.5848624721424924
sports,3.5816195803893525
dog,3.5808892107561636
magic,3.5807634186095916
wedding,3.5796609690067545
road trip,3.57745004682666
future,3.577050220530372
survival,3.575708801003894
blackmail,3.5754762283288977
chaos,3.5735226415701034
husband wife relationship,3.5721103990315632
christmas,3.5700323959245828
hilarious,3.5675960561906055
enthusiastic,3.566501746894205
los angeles,3.5620373084064534
drugs,3.561324375439876
frantic,3.561085237808581
vibrant,3.5584678552747016
suicide,3.555597025677027
sadism,3.5553329845869346
apathetic,3.5498802438277868
anthropomorphism,3.548816909055186
daughter,3.548597629251767
enraged,3.5482696762194825
violence,3.547012417752818
anime,3.5468576590611494
adultery,3.543290687469482
supernatural,3.541695759676108
aggressive,3.5391039852432313
gang,3.5386234338433704
1970s,3.5376359095863292
kidnapping,3.5361371921249063
authoritarian,3.525109380438317
dreams,3.523801930093565
best friend,3.5219075948524994
hopeful,3.520410843447671
usa,3.51525375409643
money,3.514837492118764
teacher,3.512026531514879
death,3.510434071310736
shootout,3.509000210380915
small town,3.5079761010285195
complicated,3.50491234366628
obsession,3.5028750577810066
motorcycle,3.5021185290136483
terrorism,3.50065660693975
cautionary,3.500302105842919
organized crime,3.499554274205746
world war ii,3.4987284538933325
faith,3.497699823506805
government,3.4961730261545347
letter,3.4942667795433127
fbi,3.4934312695026892
stop motion,3.4912853311190335
undercover,3.490555332777322
