title,vote_average,vote_count,revenue,keywords
Sicario,7.414,9219,84997446,"mission, assassin, central intelligence agency (cia), mexico, corruption, bomb, fbi, smoking, texas, border, manipulation, cynicism, revenge, murder, dirty cop, football (soccer), brutality, drugs, special forces, interrogation, desert, surveillance, night vision, death of daughter, moral dilemma, neo-noir, death of wife, mexican cartel, secret tunnel, violence, audacious, juárez, mexico"
Die Dienstagsfrauen - Zwischen Kraut und Rüben,5.2,2,0,woman director
Alvin and the Chipmunks: The Road Chip,6.024,1722,233755553,"anthropomorphism, chipmunk, hitchhiker, aftercreditsstinger, duringcreditsstinger, live action and animation"
Spectre,6.565,10947,880707597,"based on novel or book, spy, secret agent, sequel, mi6, british secret service, united kingdom"
Return to Sender,6.119,1240,0,"prison, rape, nurse, date, flirting, rape and revenge"
Female War: A Nasty Deal,5.727,33,0,softcore
Hotel Transylvania 2,6.767,5982,473200000,"hotel, witch, skeleton, magic, transylvania, technology, marriage, mummy, only child, backpacker, wolfman, zombie, moving out, invisible person, new life, dracula"
The Scorpion King 4: Quest for Power,5.2,238,0,"magic, steampunk, dragon"
Creed,7.407,7759,173600000,"underdog, mexico, philadelphia, pennsylvania, sports, mentor, trainer, cancer, spin off, underground fighting, boxing trainer, motivational speaker, boxing, legacy, boxing manager, boxing champion"
Me and Earl and the Dying Girl,7.5,2679,0,"high school, tattoo, based on novel or book, melancholy, parody, leukemia, coming of age, friends, cancer, teenage boy, high school student, pittsburgh, pennsylvania, thoughtful, based on young adult novel, introspective, wistful, teenager, absurd, sentimental, bitter, compassionate, melodramatic"
The Vatican Tapes,5.363,802,1784763,"exorcism, education, anti-christ, exorcist, wicked priest, young girls, government personal"
Eye in the Sky,7.006,1665,18704595,"drone, terrorism, duringcreditsstinger, us military, air force base, combat drone"
The Second Best Exotic Marigold Hotel,6.4,749,85979176,"affectation, india, retirement home, zealous, wonder, amused, appreciative, assertive, awestruck, celebratory, cheerful, sympathetic"
Wednesdays Don't Exist,5.645,31,0,"cheating, based on play or musical, couple, multiple storylines"
The Hateful Eight,7.755,14851,155760117,"bounty hunter, wyoming, usa, narration, mountain, hangman, whodunit, stagecoach, blizzard, post civil war, 19th century, dramatic, suspenseful, male rape, enthusiastic"
The Intern,7.227,7093,194564672,"new york city, friendship, san francisco, california, office, masseuse, website, tai chi, internet, fish out of water, brooklyn, new york city, business start-up, driver, senior citizen, ceo, father figure, intern, social media, gentleman, woman director, meditative, city life, chivalry, retired life, professional woman, inspirational, internship, e-comm, witty, retailer, appreciative, enthusiastic, hopeful, optimistic, sincere, sympathetic, vibrant, elderly widower, online store"
Knock Knock,5.388,3388,6341684,"adultery, infidelity, sadism, cake, disc jockey, eroticism, rain, architect, seduction, torture, art, home invasion, extramarital affair, threesome, seductress, erotic thriller, married man"
The Gorevision's System,0.0,0,0,"gore, heavy metal, documentary filmmaking"
Frozen Fever,6.829,1876,0,"princess, sibling relationship, birthday, cartoon, musical, birthday party, snowman, reindeer, birthday cake, surprise party, frozen, woman director, birthday present, short film"
Sidetracked,5.9,69,0,"countryside, married couple, fashion designer, family relationships, family, family reunion, couple, group of friends"
How to Plan an Orgy in a Small Town,5.1,138,24532,"virgin, small town, orgy, writer"
Kill Me Three Times,5.615,558,0,"assassin, dark comedy"
No One Loves Anyone For More Than Two Years,5.909,11,0,"platonic love, romcom, anthology, romance, love, brazil, no one loves, no love"
The Measure of a Man,6.56,357,106498,"unemployment, social realism"
The Big Short,7.358,9530,133346506,"based on novel or book, bank, fraud, wall street, biography, based on true story, finances, animated scene, historical fiction, loan, financial crisis, real estate, mortgage, factual"
Pirate's Passage,5.6,20,0,"pirate, adult animation"
After Words,5.2,18,0,"wildlife, suicidal, tour guide, los angeles, california, loss of job, single father, young man, reading, tropical island, costa rica, librarian, knowledge, depressed woman, single woman, books, mid-life crisis, caribbean, public library, trip, learning, transformative journey, unexpected, love of books, solitary life"
Joy,6.55,4211,101134059,"factory, strong woman, inventor, biography, based on true story, new york state, entrepreneur, mop, 1990s, stolen patent"
Palm Trees in the Snow,7.372,537,0,"sibling relationship, based on novel or book, 1970s, plantation, forbidden love, family secrets, colonialism, 1950s, 1960s, west africa, 2000s, african history, equatorial guinea"
Sisters,5.967,1428,105000000,"sibling relationship, childhood home, orlando florida"
Getaway of Love,3.938,32,0,"adultery, police chase"
Bienvenidos al Fin del Mundo,4.0,1,0,short film
Naked Under the Leather,7.5,2,0,"neighbor, food"
Insidious: Chapter 3,6.28,3516,120453155,"sequel, insidious"
Chappie,6.785,8257,104399548,"future, android, artificial intelligence (a.i.), dystopia, johannesburg, south africa, robot, robot cop"
Focus,6.871,8119,153962963,"seduction, con man, illusion, deception, rivalry, femme fatale, con artist, illusionist, serious, provocative"
Les Enfoirés 2015 - Sur la route des Enfoirés,6.5,15,0,concert
The Treacherous,6.1,85,6906250,"king, 15th century, joseon dynasty (1392–1910)"
Werewolves in Heat,1.75,4,0,werewolf
'Tis the Season for Love,5.771,59,0,"hometown, struggling actor, christmas"
Huevos: Little Rooster's Egg-Cellent Adventure,7.0,222,26072723,"chicken, adult animation"
Too Close to the Sun,5.735,17,0,"suicide, husband wife relationship, incest, biological mother, magistrate, mother son incest, mother son sex"
The Time of a Young Man About to Kill,7.5,2,0,short film
A Man Called Ove,7.606,1247,30692889,"friendship, dark comedy, black humor, suicidal, pregnant woman, first kiss, bitterness, power of love, memories, grumpy man, gay artist, muslim character, bloody, cars, romantic drama"
Para sa Hopeless Romantic,5.2,11,0,philippines
Ricki and the Flash,5.8,732,41325328,"rock star, homophobia, aging, family relationships, divorce, estranged"
Keith Lemon's Back t'Future Tribute,6.5,4,0,"parody, tribute, mockumentary"
3 Türken und ein Baby,5.414,111,0,baby
One Thing Leads To Another,5.0,1,0,drug dealer
Weepah Way For Now,4.8,16,0,"sibling relationship, dysfunctional family, family"
Daddy's Home,6.294,3336,242786137,"father, family"
I Am Dragon,7.214,400,10495305,"fairy tale, dragon"
