title,vote_average,vote_count,revenue,keywords
Harry Potter and the Prisoner of Azkaban,8.01,22616,789804554,"witch, school friend, friendship, flying, magic, bus, traitor, child hero, school of witchcraft, black magic, time travel, school, best friend, werewolf, muggle, ghost, wizard, aftercreditsstinger, magical creature, night bus, teenage life, christmas, school class, based on young adult novel, magic spell, admiring, comforting, enchant, teen fantasy"
The Polar Express,6.721,6684,318432432,"faith, holiday, santa claus, nerd, bell, train, beard, north pole, trestle, ticket, train travel, christmas, cheerful, xmas"
Troy,7.163,10728,497409852,"adultery, sibling relationship, hostility, bravery, mythology, beauty, trojan war, wall, fraud, sword fight, battlefield, historical fiction, ancient world, based on song, poem or rhyme, pyre, ancient greece, peplum, trojan horse, bronze age, sparta greece, grand, ships, sword and sandal, helmet, exhilarated, 12th century bc, achilles, helen of troy"
Howl's Moving Castle,8.391,10656,236049757,"witch, flying, rain, castle, scarecrow, body exchange, melancholy, hatter, bakery, curse, steampunk, demon, anime, thoughtful, reflective, based on young adult novel, playful, fantasy, adventure, romantic, whimsical, hopeful"
White Chicks,6.936,4337,113100000,"undercover, kidnapping, fbi, auction, nightclub, sleepover, cross dressing, car accident, shopping, news reporter, impersonation, high society, fashion show, buddy cop, basketball player, socialite party, dance-off, hamptons, jealous wife, dumb blonde, brothers, amused, runway, fbi operation, drug bust"
Shrek 2,7.302,13057,935454538,"prison, princess, magic, kingdom, fairy tale, liberation, transformation, honeymoon, prince, villain, parents-in-law, enchantment, sequel, anthropomorphism, dragon, ogre, fairy godmother, cartoon donkey, quirky comedy"
The Incredibles,7.72,18458,631442092,"hero, secret identity, superhero, villain, family relationships, super power, supervillain, 1950s, 1960s, excited"
The Notebook,7.892,12196,115600000,"secret love, soulmates, based on novel or book, love of one's life, fight, poem, river, sadness, class, dementia, tears, candle, mailbox, valentine's day"
Crimson Rivers II: Angels of the Apocalypse,6.114,747,40152148,"ritual, monk, minister, murder, apocalypse"
Kung Fu Hustle,7.477,3026,102034104,"martial arts, china, magic, gangster, mafia, defense, policeman, wuxia, 1940s, anarchic comedy, pretending to be gay, canton"
Van Helsing,6.384,6352,300257475,"transylvania, vampire, vatican (holy see), bite, castle, steampunk, werewolf, gothic horror, van helsing, notre dame cathedral, 19th century, mr. hyde, frankenstein, dracula, fantasy, amused"
Million Dollar Baby,7.954,10081,216763646,"dying and death, transporter, strong woman, stroke of fate, advancement, sports, fight, suicide attempt, boxer, training, tragedy, female protagonist, brutality, boxing trainer, unlikely friendship, female boxing, knockout, euthanasia, determination, boxing, sentimental"
