title,vote_average,vote_count,revenue,keywords
Pirates of the Caribbean: Dead Man's Chest,7.373,16740,1066179747,"witch, daughter, ship, exotic island, bondage, monster, fortune teller, compass, sword fight, pirate, cannibal, swashbuckler, kraken, aftercreditsstinger, based on theme park ride"
The Holiday,7.091,5434,205219880,"london, england, holiday, movie business, christmas party, country house, vacation, surrey, romance, los angeles, california, multiple storylines, woman director, christmas, christmas romance, house swapping, holiday romance"
Undisputed II: Last Man Standing,7.346,872,1361,jail
Little Man,5.927,1839,101600000,"baby, small person, married couple, adoption, criminal, comforting"
Casino Royale,7.567,11303,599045960,"banker, casino, based on novel or book, poker, italy, spy, money, torture, terrorism, mi6, british secret service, montenegro, dramatic, suspenseful, thriller, action, adventure, earnest"
After Thomas,6.1,8,0,"autism, parenthood"
The Da Vinci Code,6.729,9793,760006945,"paris, france, based on novel or book, holy grail, christianity, monk, secret society, louvre museum, grave, heresy, mona lisa (la gioconda), freemason, pentagram, melancholy, conspiracy, tomb, mourning, catholicism, cryptologist, iconography, albino, sect, meditative, mysterious, vexed, somber, philosophical, reflective, complex, wonder, loving, introspective, serene, irreverent, inspirational, intimate, provocative, dramatic, tense, intense, romantic, appreciative, commanding, dignified, earnest, euphoric, exhilarated, gentle, hopeful, modest, optimistic, powerful, sincere, sympathetic, tragic"
The Hills Have Eyes,6.451,3228,69623713,"van, rape, ambush, gas station, new mexico, gore, remake, serial killer, slasher, brutality, cannibal, killer, desert, family holiday, madness, ghost town, lost in the desert, nuclear testing, human monster"
The Departed,8.159,15707,291465000,"police, undercover, boston, massachusetts, gangster, irish-american, crime boss, friends, remake, mobster, organized crime, mafia, undercover cop, mole, state police, police training, realtor, angry, complex, dreary, action packed, intense, authoritarian, frightened"
Pan's Labyrinth,7.758,11143,83258226,"princess, army, fairy tale, resistance, servant, anti hero, franco regime (francoism), woods, cruelty, hiding, labyrinth, magic realism, dark fairy tale, children in wartime, post spanish civil war, faun, gloomy"
The Devil Wears Prada,7.39,12632,326706115,"new york city, journalist, paris, france, based on novel or book, journalism, fashion journal, assistant, job entrant, job interview, editor-in-chief, fashion, fashion magazine, bullied, city life, fashion industry, bold"
The Prestige,8.206,17017,109676311,"dying and death, suicide, class society, london, england, magic, competition, obsession, hostility, class, diary, twist, tricks, illusion, rivalry, partner, steampunk, cruelty, hanging, jail cell, 19th century, nikola tesla, magician, tesla coil, bittersweet, secret, direct, mind-blowing, antagonistic, embarrassed, pretentious"
The Lives of Others,8.038,3944,77672685,"berlin, germany, government, corruption, espionage, germany, berlin wall, german democratic republic, cold war, blackmail, stasi, soviet union, freedom of speech, house search, artists' life, interrogation, surveillance, heartbreak, east germany, communism, corrupt agent, political corruption, political thriller, surveillance state, persecuted writer, systemic corruption, suspenseful, noble sacrifice, corrupt government, escape from communism"
Night at the Museum,6.593,10663,574480841,"night shift, skeleton, chaos, maya civilization, museum, genghis khan, natural history, dinosaur, based on children's book, magical object, security guard, duringcreditsstinger, pharaoh, inanimate objects come to life"
Cars,7.0,14722,461983149,"friendship, car race, sports, villain, success, route 66, porsche, retirement, road trip, anthropomorphism, love, racing, rural area, los angeles, california, aftercreditsstinger, duringcreditsstinger, rookie, dedication, humility, cars"
"OSS 117: Cairo, Nest of Spies",7.234,1810,23055884,"france, cairo, nazi, espionage, secret agent, humorous, comedy, french intelligence"
