title,vote_average,vote_count,revenue,keywords
Five Nights at Freddy's,7.374,4708,297242145,"night shift, child murder, restaurant, custody battle, child in peril, security guard, based on video game, evil child, duringcreditsstinger, troubled past, child neglect, haunted attractions, animatronic, abandoned building, brother sister relationship, supernatural horror, child abduction, admiring, amused, horrified, vibrant, android horror, suspense mystery, youtubers"
My Fault,7.765,3939,0,"first time, forbidden love, stepbrother, female protagonist, underage sex, stepsister, disturbed, based on young adult novel, enemies to lovers, passion and romance, car, disapproving, disgusted, step-sibling romance"
The Super Mario Bros. Movie,7.602,10116,1362000000,"gorilla, plumber, villain, anthropomorphism, magic mushroom, based on video game, toad, aftercreditsstinger, duringcreditsstinger, damsel in distress, piano, brother brother relationship, illumination, 3d animation, evil king"
The Family Plan,7.243,1719,0,"road trip, on the run, gamer, car salesman, las vegas, duringcreditsstinger, hidden identity, family trip, ex army, family bonding, buffalo, new york, teenager, secrets, optimistic, former assassin, physical therapist, covert assassin"
Fast X,7.013,6121,704709660,"sequel, revenge, betrayal, racing, family, cliffhanger, cars, bold, ominous"
Barbie,6.942,10522,1447138421,"feminism, satire, patriarchy, social satire, based on toy, female protagonist, fish out of water, womanhood, doll, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, adventure comedy, gender discrimination, secret world, audacious, sarcastic, sympathetic, fantasy comedy"
Spider-Man: Across the Spider-Verse,8.338,8078,690897910,"new york city, hero, sacrifice, superhero, villain, portal, based on comic, sequel, romance, alter ego, alternate dimension, parenting, family, alternate version, super power, brooklyn, new york city, superhero team, spider bite, super villain, cliffhanger, teenage romance, young heroes, teen superhero, teen social issues, chelsea, alternate universe, superhero teamup, female superhero, slow burn romance, interdimensional travel"
Oppenheimer,8.044,11042,952000000,"husband wife relationship, based on novel or book, atomic bomb, patriotism, new mexico, world war ii, atomic bomb test, physics, biography, based on true story, antisemitism, interrogation, guilt, historical event, nuclear weapons, communism, red scare, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, 20th century, manhattan project, los alamos"
John Wick: Chapter 4,7.716,7517,440157245,"new york city, martial arts, berlin, germany, hitman, sequel, organized crime, osaka, japan, blindness, aftercreditsstinger, hunted, consequences, aggressive, professional assassin, neo-noir, suspenseful, tense, exhilarated, pretentious, japanese mafia, japan style, located in japan"
After Everything,6.889,966,10644463,"alcohol, lisbon, portugal, writer's block, sequel, love, author, wedding, anger, social media, troubled past, dysfunctional relationship, based on young adult novel, fanfic, loss and grief"
Rascal Does Not Dream of a Sister Venturing Out,7.6,48,0,"supernatural, sequel, anime, japanese high school, based on light novel"
End of Loyalty,5.4,7,0,"best friend, crime family, retribution, family rival, violence"
Mission: Impossible - Dead Reckoning Part One,7.515,4758,571125435,"mask, race against time, mission, rome, italy, chase, secret mission, spy, fake identity, secret agent, sequel, intelligence agency, secret government organization, infiltration, fictional government agency, rogue agent, government agency, based on tv series, suspenseful, witty, action"
Daniel Brühl: Breaking Bad,3.5,2,0,"movie business, hollywood star, portrait of an artist"
Elemental,7.592,5054,496444308,"fire, earth, computer animation, duringcreditsstinger, elements, water, city, lighthearted, romantic, whimsical, hopeful"
Migration,7.374,2140,298776052,"duck, villain, migration, flight, anthropomorphism, family, animals, chef, overprotective father, illumination, bird"
Operation Fortune: Ruse de Guerre,6.471,1781,48983306,"martial arts, london, england, showdown, madrid, spain, espionage, spy, secret agent, shootout, cannes, france"
A Haunting in Venice,6.584,2658,121400000,"based on novel or book, venice, italy, loss of loved one, detective, medium, grief, whodunit, investigator, guilt, novelist, post world war ii, murder investigation, ghost, séance, mysterious, murder mystery, spiritism, halloween night, palazzo, retired detective"
The Flash,6.622,4785,271333313,"hero, secret identity, superhero, time travel, based on comic, superhuman, super power, aftercreditsstinger, butterfly effect, dc extended universe (dceu), superhuman abilities, loss of mother, admiring"
Indiana Jones and the Dial of Destiny,6.527,3889,383963057,"melancholy, treasure hunt, ancient rome, sequel, flashback, knife fight, archaeologist, adventurer, 1960s, nazi germany, action adventure, bold"
Guy Ritchie's The Covenant,7.729,2971,21948551,"rescue, ambush, interpreter, afghanistan, afghanistan war (2001-2021), war, exhilarated"
Leave the World Behind,6.38,2997,0,"based on novel or book, blackout, crisis, vacation, deer, apocalypse, armageddon, family, social issues, desperate, anxious, psychological, slow burn, house rental, disheartening, frightened, chilling"
Guardians of the Galaxy Vol. 3,7.932,7822,845550000,"hero, superhero, melancholy, mad scientist, based on comic, sequel, superhero team, space opera, raccoon, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), hopeless, cosmic, outer space, chosen family, lighthearted, hilarious, cheerful, disheartening, empathetic, enthusiastic, euphoric, hopeful, straightforward, sympathetic"
Burning Betrayal,6.281,224,0,based on novel or book
Transformers: Rise of the Beasts,7.198,5096,441381193,"peru, alien, end of the world, based on toy, robot, duringcreditsstinger, 1990s, brother brother relationship"
The Little Mermaid,6.288,3197,569626289,"witch, mermaid, musical, based on fairy tale, live action remake"
Una mano bajo la nieve y otras historias,0.0,0,0,"musical, anthology, romance, nature, family conflict, social issues, relationships, documentary, latinx, fiction, drama"
When the Waves Are Gone,7.0,7,0,philippines
Expend4bles,6.1,1778,37917985,"sequel, nuclear bomb, cargo ship, ring"
There's Something in the Barn,6.146,209,1295585,"elves, holiday, dark comedy, barn, norway, family relationships, survival, snow, survival horror, farm house, christmas, survive, norwegian folklore, old barn, northern norway"
Chicken Run: Dawn of the Nugget,7.0,841,0,"rescue, chicken, villain, sequel, heist, stop motion, animals, reboot, claymation, plasticine, witty, arrogant, feel-good, rousing"
The Equalizer 3,7.294,3491,191067560,"italy, investigation, organized crime, vigilante justice, dramatic, suspenseful, italian mafia, horrified, mean spirited, violent"
The Three Musketeers: D'Artagnan,6.93,1334,31843086,"sword, musketeer, 1620s, three musketeers"
Poor Things,7.656,5128,117607117,"ship, london, england, experiment, paris, france, based on novel or book, obsession, lisbon, portugal, crooked lawyer, love, domestic abuse, female protagonist, doctor, prostitution, cruelty, scientist, masturbation, disfigured face, sexual awakening, exploring sexuality, sex worker, female empowerment, curious, female sexuality, brain transplant, absurdism, quest for knowledge, spousal abuse, women's liberation, alexandria egypt, victorian era, quest for identity, frankenstein, body horror, amused, melodramatic, wry"
The First Day of My Life,6.711,158,0,suicide thoughts
Murder Mystery 2,6.391,1874,0,"new york city, paris, france, bomb, kidnapping, married couple, interpol, ex-cop, sequel, whodunit, wedding, private detective, nypd, tropical island, eiffel tower, paris, ransom demand, maharajah, french police, indian wedding, casual, friend's wedding, mystery, arc de triomphe"
Wonka,7.05,4139,634502312,"chocolate, musical, prequel, nostalgic, duringcreditsstinger, cartel"
