title,vote_average,vote_count,revenue,keywords
The Grinch,6.9,4296,508600000,"holiday, surrealism, remake, based on children's book, christmas, illumination, dr. seuss"
Avengers: Infinity War,8.235,31210,2052415039,"sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, superhero team, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
The Christmas Chronicles,7.148,2306,0,"holiday, brother, camera, santa claus, massachusetts, sister, saving christmas, north pole, journey, christmas spirit, christmas, chronicles"
Spider-Man: Into the Spider-Verse,8.394,16660,393602435,"superhero, based on comic, aftercreditsstinger, alternate universe"
To All the Boys I've Loved Before,7.596,8618,0,"high school, based on novel or book, love letter, romance, first love, lost mother, woman director, sisterhood, pretend relationship, based on young adult novel, asian american, derogatory, ridiculous"
Upgrade,7.502,4779,16976561,"future, artificial intelligence (a.i.), hacker, police, technology, cyborg, dystopia, revenge, murder, drone, cyberpunk, transhumanism, brutality, implant, surgery, quadriplegic, near future, body enhancement, body horror, violence, microship, android horror"
The Predator,5.6,4969,160542134,"predator, sequel, alien, creature, alien invasion, military, amused"
The Nephew,1.0,2,0,"birthday, brothel, coming of age, uncle nephew relationship, birthday present, short film"
Ocean's Eight,6.968,8603,297718711,"new york city, heist, spin off, estranged sister, the met gala, amused, cliché"
The Spy Who Dumped Me,6.383,2310,33562069,"berlin, germany, paris, france, spy, prague, czech republic, female friendship, best friend, los angeles, california, save the day, acrobats, edward snowden"
Aquaman,6.871,14612,1152028393,"hero, chase, atlantis, superhero, half-brother, based on comic, royalty, underwater, duringcreditsstinger, quest, dc extended universe (dceu), advanced civilization, two worlds, amused"
Ready Player One,7.585,16412,607274134,"future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio, inspirational, vrmmo, dystopian sci-fi"
Breaking In,6.0,679,49078000,"mother, hostage, home invasion"
Holy Goalie,5.6,156,1958544,"sports, religion, football (soccer)"
Johnny English Strikes Again,6.265,2648,158972570,"spy, parody, sequel, slapstick comedy"
How It Ends,5.275,1990,0,"chicago, illinois, lightning, pregnancy, seattle, washington, volcano, earthquake, tsunami, road trip, murder, apocalypse, power outage"
Mamma Mia! Here We Go Again,7.086,3506,395607854,"greece, musical, sequel, greek island, aftercreditsstinger, estranged mother, long lost love, jukebox musical, estranged grandparent, abba"
When Love Digs a Hole,6.7,3,0,"high school, age difference, dark comedy, delinquency, coming of age, love, parenthood, older woman younger man relationship, 1990s"
Ghost Killers vs. Bloody Mary,5.6,125,0,supernatural
7 Days in Entebbe,5.82,436,9196740,"israel, 1970s, rescue mission, uganda, based on true story, airplane hijacking, terrorism, israeli defense force, terrorist group, operation entebbe, idi amin"
Rampage,6.455,7327,428028233,"monster, wolf, mutation, gorilla, giant monster, lizard, giant lizard, creature, based on video game, giant animal, mutant animal, kaiju, albino, giant, rat, genetic experiment, destroyed city, giant gorilla, animal monster"
Mission: Impossible - Fallout,7.445,8839,791658205,"mask, race against time, london, england, central intelligence agency (cia), helicopter, paris, france, chase, gun, spy, countdown, fake identity, stunt, fistfight, double agent, norway, sequel, secret government organization, infiltration, mi6, motorcycle, killer, bomb remote detonator, nuclear weapons, handgun, fictional government agency, hand to hand combat, motorcycle chase, government agency, french police, helicopter chase, based on tv series, action, terrorist"
The Strangers: Prey at Night,5.707,1454,32144262,"road trip, swimming pool, sequel, murder, serial killer, slasher, home invasion, cross country, stranger, mysterious stranger, handgun, mobile home, brother sister relationship, masked, psychological horror"
The Nutcracker and the Four Realms,6.089,2201,173961069,"princess, magic, fairy tale, betrayal, magical object, based on short story, christmas"
Exit Strategy,7.395,19,0,"time travel, time loop, firefighter, brother brother relationship, short film"
Level 16,6.759,711,15575,"truth, orphanage, dystopia, imprisonment, girls' boarding school, betrayal, woman director, dark secret, mysterious, girls' school"
12 Strong,6.345,3106,67450815,"central intelligence agency (cia), based on novel or book, afghanistan, based on true story, taliban, post 9/11, intense, melodramatic"
Incredibles 2,7.456,13378,1243225667,"married couple, superhero, cartoon, villain, sequel, parenting, family, super power, female villain, supervillain, colorful"
Peter Rabbit,6.692,1862,351266433,"human animal relationship, based on children's book, rabbit, duringcreditsstinger, live action and animation, food allergies"
Bohemian Rhapsody,8.0,17422,910813521,"london, england, aids, musician, 1970s, biography, based on true story, singer, hiv, male homosexuality, fame, rock band, lgbt, 1980s, gay theme"
Ant-Man and the Wasp,6.91,13864,622674139,"van, dreams, insect, flying, chase, fight, superhero, ant, nuclear missile, shrinking, based on comic, giant insect, sequel, flashback, house arrest, alternate dimension, tragic villain, laboratory, fugitive, school, miniaturization, montage, toy car, giant man, female villain, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), giant, action hero, father daughter relationship, mother daughter relationship, formiga"
Ben Is Back,6.599,949,12616995,"drug dealer, small town, drug addiction, criticism and blame, drug rehabilitation, church, family conflict, painful memories, temptation, older brother younger sister, family dog, return of son, worry, teenage son, blended family, addiction recovery, mother son relationship, stolen dog, christmas eve, past history, making amends, hopeful, one day, mother's undying love"
The Equalizer 2,6.779,5739,190400157,"drug dealer, martial arts, central intelligence agency (cia), rape, kidnapping, hostage, hurricane, sequel, revenge, murder, gang, massacre, aggressive, elite forces, vigilante justice, suspenseful, commanding, exhilarated, frightened"
Between Worlds,5.002,257,0,"spirit, woman director, lost soul"
Venom,6.827,16876,856085151,"spacecraft, san francisco, california, superhero, anti hero, alien life-form, based on comic, aftercreditsstinger, duringcreditsstinger, business tycoon, symbiote, genetic experiment, venom"
Jurassic World: Fallen Kingdom,6.537,12422,1310469037,"tyrannosaurus rex, volcano, rescue mission, sequel, wild animal, prehistoric creature, dinosaur, genetic engineering, aftercreditsstinger, monster island"
Death Race: Beyond Anarchy,6.243,370,0,"prison, car race, sequel, street race, infiltration, death game"
