title,vote_average,vote_count,revenue,keywords
It Chapter Two,6.838,9300,473123154,"based on novel or book, clown, carnival, sequel, remake, maine, creature, fear, lgbt, ancient evil, loss of a friend, monster horror"
Knives Out,7.8,13326,312897920,"immigrant, detective, massachusetts, investigation, big family, mansion, whodunit, family home, murder mystery, neo-noir, privilege, inspirational"
The Legendary Lighter,6.0,3,0,"fighting, action hero"
Ne Zha,7.88,739,742718496,"magic, dragon, demon, based on myths, legends or folklore, 3d animation, nezha, donghua, amused"
Parasite,8.5,19797,257591776,"dark comedy, private lessons, birthday party, con artist, working class, infiltration, psychological thriller, class differences, housekeeper, tutor, family, hidden room, unemployed, shocking, hiding in attic, domestic worker, wealthy family, south korea, caste violence, seoul, south korea, suspenseful, intense"
Joker,8.13,27053,1078958629,"dreams, street gang, society, psychopath, clown, villain, based on comic, murder, psychological thriller, criminal mastermind, mental illness, anarchy, character study, clown makeup, prophetic, subway train, social realism, supervillain, tv host, 1980s, mother son relationship, origin story, dramatic, falling into madness, intense"
Avengers: Endgame,8.237,27002,2799439100,"superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship, awestruck, powerful, vibrant"
After,7.112,8445,69497587,"based on novel or book, love, teenage crush, teenage romance, bad boy, depressing, cliché"
Spider-Man: Far From Home,7.399,16502,1131927996,"venice, italy, superhero, school trip, europe, based on comic, sequel, destruction, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), tower of london, hilarious"
How to Train Your Dragon: The Hidden World,7.75,6877,539987993,"based on novel or book, flying, affectation, villain, melancholy, vikings (norsemen), sequel, overpopulation, dragon, love interest, based on children's book, mourning, speculative, mysterious, thoughtful, somber, philosophical, reflective, complex, wonder, loving, playful, introspective, inspirational, grand, intimate, joyous, dramatic, suspenseful, reminiscent, sentimental, witty, intense, romantic, whimsical, admiring, adoring, ambiguous, amused, apologetic, appreciative, approving, awestruck, bold, celebratory, cheerful, comforting, compassionate, complicated, empathetic, enchant, enthusiastic, exuberant, gentle, optimistic, powerful, sincere, sympathetic, vibrant"
Fast & Furious Presents: Hobbs & Shaw,6.843,7560,760098996,"london, england, biological weapon, secret organization, family clan, friends, spin off, family reunion, buddy comedy, aftercreditsstinger, duringcreditsstinger, mother son relationship, father daughter relationship, brother sister relationship, casual"
Star Wars: The Rise of Skywalker,6.279,10484,1074144248,space opera
Klaus,8.225,4430,0,"friendship, small town, island, holiday, santa claus, cartoon, letter, postman, reindeer, toy maker, christmas, 19th century, toymaker, origin story, good versus evil, whimsical, adoring, amused, cheerful, excited"
Making Babies,5.9,39,0,"married couple, infertility, doctor, family, treatment, trying to get pregnant, specialist"
The Queen's Corgi,5.94,439,35515687,"london, england, self-discovery, palace, dog fighting, dog, united kingdom, burlesque, queen of england, journey, pets, zealous, corgi, bold, exhilarated, familiar"
The Secret Life of Pets 2,6.949,3239,429434163,"new york city, friendship, villain, sequel, dog, talking animal, illumination, 3d animation"
Queen of Hearts,6.885,348,0,"lawyer, incest, older woman younger man relationship, woman director, erotic thriller, unfaithful wife, age-gap relationship, stepmother stepson relationship, stepmother stepson incest, stepmother stepson sex"
Frozen II,7.24,10083,1453683476,"princess, magic, kingdom, winter, queen, castle, musical, sequel, dam, spirit, aftercreditsstinger, frozen, personification, thoughtful, mother daughter relationship, compassionate"
A Dog's Journey,8.054,1586,78871079,"reincarnation, sequel, growing up, dog, animal shelter, pets"
Once Upon a Time... in Hollywood,7.426,14339,392105159,"movie business, male friendship, cult, based on true story, celebrity, fame, hollywood, los angeles, california, historical fiction, buddy, filmmaking, struggling actor, satanic cult, revisionist history, nostalgic, duringcreditsstinger, western filmmaking, manson family murders, 1960s, stunt double, old hollywood, sharon tate, charles manson"
The Third Wife,6.447,85,0,"arranged marriage, teenage girl, woman director, 19th century, landowner, vietnamese woman"
"The Gangster, the Cop, the Devil",7.843,1373,25775371,"police, gangster, based on true story, serial killer, gang, aggressive, tense"
The Dead Don't Die,5.432,2759,15325468,"hermit, small town, pennsylvania, usa, cemetery, breaking the fourth wall, b movie, zombie, police officer"
The Lion King,7.102,10576,1662020819,"africa, lion, prince, redemption, musical, uncle, remake, grief, king, family, sidekick, live action and animation, father son relationship, live action remake"
El Camino: A Breaking Bad Movie,7.044,5413,0,"new mexico, drugs, meth lab, albuquerque, new mexico, crystal meth, based on tv series, methamphetamine"
A Mulher da Luz Própria,8.0,1,0,"biography, actress"
Aladdin,7.091,10423,1097831681,"hero, hustler, palace, sultan, flying carpet, musical, rags to riches, romance, monkey, family, first love, based on myths, legends or folklore, genie, arabian nights, live action and animation, live action remake, hilarious, adoring, brisk, familiar"
Plus One,6.9,389,44112,"ex-boyfriend, relationship problems, speech, idealist, fear of commitment, wedding, summer, relationship, drinking, wedding date, best man, college friends, father son relationship, partying, best friends, sister's wedding, father's wedding"
Lockdown,4.7,6,0,"volleyball, school, middle school, woman director, lesbian"
John Wick: Chapter 3 - Parabellum,7.445,11352,326709727,"new york city, martial arts, bratva (russian mafia), casablanca, morocco, secret society, morocco, secret organization, black humor, sahara desert, sequel, organized crime, one man army, consequences, professional assassin, desperate, baba yaga, dog man friendship"
What Men Want,6.216,1556,69766483,"telepathy, bartender, partnership, psychic, widower, single father, boxing trainer, national basketball association (nba), personal assistant, basketball player, retelling, boys club, atlanta, georgia, father daughter relationship, best friends, woman in a man's world, best friend's wedding, passed over for promotion"
1917,7.986,13133,446064352,"race against time, world war i, british army, soldier, real time, trenches, 1910s, trench warfare, no man's land"
A Shaun the Sheep Movie: Farmageddon,6.915,565,43133089,"sheep, sequel, stop motion, aftercreditsstinger, claymation, sheep farm, plasticine"
The Hustle,6.192,2619,97400000,"bet, competition, affectation, con artist, swindler, remake, aftercreditsstinger, con woman, candid, satirical, appreciative, awestruck, celebratory, cheerful, cliché, enthusiastic, euphoric, mocking, optimistic"
The Curse of La Llorona,5.654,2592,123233739,"mexico, sibling relationship, 1970s, religion and supernatural, supernatural, grieving widower, priest, los angeles, california, single mother, dead children, folklore, supernatural horror, mexican folklore, children in danger, horror, brother and sister, child protective services"
Father There Is Only One,7.7,756,15894372,"comedian, family"
Anna,6.707,2876,31626978,"central intelligence agency (cia), paris, france, cold war, kgb, female assassin, lgbt, modeling, professional assassin, 1990s, milan, italy"
Last Christmas,7.204,2532,121600000,"london, england, holiday, romcom, singing, homeless shelter, holiday season, angry, christmas, santa's elves, introspective, intimate, immigrants, intense, romantic, admiring, adoring, amused, awestruck, familiar, vibrant"
LEGO Marvel Spider-Man: Vexed by Venom,6.3,37,0,"superhero, lego"
Portrait of a Lady on Fire,8.104,2814,9923127,"island, fire, beach, arranged marriage, classical music, painting, painter, greek mythology, lesbian relationship, person on fire, period drama, lesbian sex, portrait, lgbt, 18th century, woman director, abortion, portrait drawing, posing for a portrait, women gathering, women in film, walk, painting lesson, symphony orchestra, lesbian, serene, woman falls in love, vivaldi, women"
A Good Woman Is Hard to Find,6.1,179,0,"mother, widow, murder, traumatized child"
"Same Time, Next Christmas",6.7,61,0,"hawaii, beach resort, christmas"
AEW Double or Nothing 2019: The Buy In,9.0,3,0,"pro wrestling, buy in"
Iron Sky: The Coming Race,5.157,436,392166,"moon, nazi, post-apocalyptic future, sequel, alien, death of mother, nazi occupation, adam and eve, adolf hitler"
Dragged Across Concrete,6.591,1063,660132,"gold, husband wife relationship, corruption, sibling relationship, hostage, heist, murder, shootout, brutality, criminal, ex-con, crooked cop, reunited friends, suspended cop, grim, stake out, violence"
Down,6.831,249,0,"holiday, confession, cell phone, security guard, valentine's day, trapped in an elevator, elevator, office building, psychological horror, holiday horror"
