title,vote_average,vote_count,revenue,keywords
The Dark Knight,8.525,34824,1004558444,"sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold"
Kung Fu Panda,7.31,12235,632091832,"martial arts, kung fu, strong woman, china, tiger, bravery, restaurant, villain, shop, panda, sensei, anthropomorphism, fighting, master, destiny, crane, aftercreditsstinger, wuxia, monkey warrior, philosophical, viper, inspirational, lighthearted"
Iron Man,7.654,27519,585174222,"middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism"
Twilight,6.284,14101,393616788,"high school, soulmates, based on novel or book, immortality, vampire, forbidden love, teen movie, trust, desire, washington state, duringcreditsstinger, woman director, interspecies romance, based on young adult novel, supernatural power, good versus evil, high school romance, vampire human love, teen fantasy, گرگ و میش"
WALL·E,8.104,19707,521311860,"garbage, dystopia, space travel, distant future, loneliness, robot, aftercreditsstinger, duringcreditsstinger, dystopian sci-fi"
How to Lose Friends & Alienate People,5.999,804,17286299,"new york city, journalist, failure, magazine, based on memoir or autobiography, starlet, british man, cult of celebrity, awards show, celebrity worship, workplace romance, celebrity interview, in crowd"
Indiana Jones and the Kingdom of the Crystal Skull,6.018,8751,786636033,"treasure, mexico city, mexico, saving the world, whip, leather jacket, riddle, maya civilization, peru, machinegun, treasure hunt, alien, nuclear explosion, refrigerator, archaeologist, adventurer, area 51, archeology, 1950s, father son relationship, dignified, vibrant, formiga"
Revolutionary Road,6.979,4007,76000000,"adultery, infidelity, career, jealousy, husband wife relationship, based on novel or book, marriage crisis, american dream, housewife, connecticut, suburbia, free spirit, unhappiness, getaway, aspiring actor, 1950s, unhappy marriage, feeling trapped, bleak"
The Incredible Hulk,6.227,12366,264770996,"new york city, rio de janeiro, superhero, based on comic, fugitive, on the run, super soldier, scientist, virginia, military, super villain, marvel cinematic universe (mcu), angry, radical transformation, good versus evil, intimate"
The Curious Case of Benjamin Button,7.595,13381,335802786,"new york city, navy, funeral, diary, tea, travel, hospital, historical fiction, period drama, magic realism, based on short story, fictional biography, reverse aging"
Journey to the Center of the Earth,6.1,5024,101702060,"based on novel or book, volcano, iceland, prehistory, prehistoric creature, dinosaur"
The Mummy: Tomb of the Dragon Emperor,5.509,4663,403449830,"china, sword, pyramid, mummy, yeti, chinese emperor, tomb, great wall of china, terracotta army, 1940s, 3rd century bc"
Taken,7.398,11768,226830568,"rescue, paris, france, kidnapping, prostitution, sex trafficking, albanian, missing daughter, ex special forces, ex-cia agent, abduction, search for daughter, army veteran"
You Don't Mess with the Zohan,5.721,3948,204313400,"new york city, israel, palestinian-israeli conflict, mossad, middle east, hairdresser, secret identity, ladykiller, heart-throb, zionism, hairstyle, hacky sack, nemesis, soldier, falling in love, counterterrorism, developers, terrorist threat, famous, sex"
Wanted,6.521,7387,342463063,"mission of murder, secret base, secret organization, instinct, train crash, revenge, betrayal, fate, based on graphic novel, healing process, hidden powers, legacy, secret code, trainsurfing, weapons training, office worker, physical training, intense, assassins, extraordinary powers, vibrant, murder of father"
A Woman in Berlin,6.569,65,1863939,"secret love, berlin, germany, rape, strong woman, love of one's life, world war ii, soviet military"
Tyler Perry's The Family That Preys,6.73,89,37100000,"husband wife relationship, female friendship, family business , betrayal, single mother, family conflict, arrogance, construction worker, snobbery, cross country trip, working woman, ungrateful child, wealth differences, atlanta, georgia, christian woman, wealthy family, mother son relationship, mother daughter relationship, black cinema, secrets, business owner, construction company owner, working class family, lifelong friendship, contention, unethical business practices"
Ponyo,7.8,4609,202404009,"princess, fish, cliff, mermaid, anime, lighthearted, sentimental, adventure, whimsical"
Barbie and the Diamond Castle,7.416,870,0,"magic, musical, female friendship, based on toy, female protagonist, 3d animation, music"
Eagle Eye,6.479,3018,178800000,"artificial intelligence (a.i.), washington dc, usa, technology, hostage, secret identity, fbi, pentagon, twin brother, terrorism, human vs computer"
Madagascar: Escape 2 Africa,6.523,7213,603900354,"dance, friendship, jealousy, airplane, africa, hunger, lion, zoo, hippopotamus, giraffe, chimp, penguin, cartoon, villain, volcano, zebra, sequel, slapstick comedy, madagascar, friends, shark, animals, duringcreditsstinger, lemur, talking animal"
Step Up 2: The Streets,6.689,2363,150988382,"underdog, hip-hop, street gang, scholarship, competition, breakdance, insurgence, heart-throb, tap dancing, ballet"
Bolt,6.534,6345,309979994,"hamster, human animal relationship, talking dog, animals, cat vs dog, duringcreditsstinger, talking cat, pets, dog cat friendship, animal lead, joyful"
Asterix at the Olympic Games,5.2,2061,131856927,"colosseum, wild boar, magic, competition, olympic games, greece, emperor, horse, roman, governance, based on comic"
Merlin and the War of the Dragons,4.0,40,0,"england, magic, surreal, dragon, king, middle ages (476-1453), dark ages"
The Wave,7.485,3498,32350637,"high school, experiment, dictator, gymnasium, trainer, classroom, fascism, national socialism, violence in schools, training, education, squatter, anarchist, homepage, high school teacher, philosophical, water polo, autocracy"
"Küss mich, wenn es Liebe ist",7.2,3,0,"funeral, bank, business woman, workplace, bakery, inheritance, falling in love, loan, ghost"
The Day the Earth Stood Still,5.654,3615,233093859,"spacecraft, government, panic, extraterrestrial technology, ultimatum, evacuation, tank, alien, remake, ufo, end of the world, social commentary, giant robot, power outage, interrogation, environmentalism, threat, alien contact, messenger, nanobots, disintegration"
Karajan: Beauty As I See It,0.0,0,0,"biography, orchestra conductor"
Michael Ballhaus - Eine Reise durch mein Leben,0.0,0,0,woman director
Vacancy 2: The First Cut,5.3,288,0,"motel, snuff, prequel, dark killer, truck driver, night vision, room key, videotape, voyeur, control room, dark room"
C'est mieux la vie quand on est grand,0.0,0,0,"based on novel or book, foster home"
Harold & Kumar Escape from Guantanamo Bay,6.303,1565,43493123,"guantanamo bay, road trip, guantánamo, cannabis, terrorism, east asian lead, buddy, stoner, aftercreditsstinger, duringcreditsstinger, stoner movie, amused"
A Matter of Loaf and Death,7.344,575,0,"bomb, bakery, romance, anthropomorphism, murder, stop motion, serial killer, dog, animal abuse, claymation, plasticine, advertising model, short film"
Next Avengers: Heroes of Tomorrow,7.04,300,3800000,"future, based on comic, super power, superhero team, hope for future, teen superhero, animation, son of superhero"
Quantum of Solace,6.336,8263,589593688,"undercover, killing, secret agent, mi6, british secret service, intense, powerful, vibrant"
Tinker Bell,6.9,1525,9208064,"fairy, spring, gardening"
The Babysitter,6.6,13,0,short film
Beverly Hills Chihuahua,5.382,1088,149281606,"dog dirt, pinata, potted plant, duringcreditsstinger, chihuahua dog"
The Great Buck Howard,6.0,262,900689,"career, magic show, comeback, drop-out"
Tropic Thunder,6.698,6674,195702811,"vietnam, movie business, satire, parody, jungle, movie star, southeast asia, land mine, shackles, taunting, duringcreditsstinger, blackface, method acting, satirical, playful, provocative, critical, hilarious, amused, audacious, bold, exuberant, inflammatory, sarcastic, sardonic"
The Memory Keeper's Daughter,6.4,39,0,"down syndrome, twins"
Open Season 2,5.9,1265,8700000,"deer, sequel, bear, dog, animals, dachshund"
The Hurt Locker,7.259,5940,49259766,"rescue, sniper, explosive, loyalty, us army, car bomb, iraq, tension, disaster, terrorism, soldier, iraq war, booby trap, anti war, bomb squad, body armor, woman director, army sergeant, unexploded bomb, weapons of war, dramatic, violence, bomb disposal unit, disarming a bomb"
In Your Absence,5.9,23,0,"coming of age, rural area, lgbt, lgbt teen"
Fire Squad,6.0,1,0,"fire, firefighter"
Welcome to the Sticks,6.698,2516,245144417,"jealousy, clock tower, provence, southern france, lie, postman, mama's boy, bias, local speciality, relocation, prejudice, cultural difference, job transfer, northern france, bell tower, postal worker, hospitality, community spirit, dialect, small community, wine drinking, unhappy marriage, social prejudice, accents, disability fraud"
The Headless Woman,6.2,121,100177,"hit-and-run, woman director"
What Happens in Vegas,6.108,3195,219400000,"hotel, casino, roommates, romcom, rivalry, wedding, las vegas, drinking, opposites attract, aftercreditsstinger, marriage counselling, accidental marriage, vegas wedding, credits cookie"
Crime Is Our Business,5.883,94,0,"based on novel or book, married couple, murder, witness to murder, cadaver"
Gran Torino,7.989,11234,270000000,"rape, war veteran, gangster, immigration, old man, priest, gang, detroit, michigan, widower, hmong"
Ghost in the Shell 2.0,7.413,442,0,"future, android, cyborg, dystopia, cyberpunk, anime, philosophical, ambiguous"
Nim's Island,5.9,1166,100104565,"daughter, exotic island, shipwreck, cruise, volcano, e-mail, turtle, liana, anthropomorphism, author, pirate, woman director, iguana, sea lion"
The Happening,5.395,3821,163403799,"suicide, husband wife relationship, tree, natural disaster, crisis, park, nature, strange behavior, virus, unexplained, toxin, unprecedented"
"Well, We Were Lucky with the Weather – Again",3.357,14,0,"sweden, summer vacation"
Glamour vs. Paparazzi,0.0,0,0,"paparazzi, hollywood star, celebrity photographer"
Gingerdead Man 2: The Passion of the Crust,4.6,56,0,"darkness, beatnik, murder"
Auge in Auge - Eine deutsche Filmgeschichte,6.3,3,0,"new love, cinema on cinema, movie business"
Jack Says,4.5,3,0,memory loss
Meet the Spartans,4.098,1786,85897593,"army, dance performance, fight, queen, penguin, parody, black hole, spoof, s.a.t., aftercreditsstinger, duringcreditsstinger, playful, irreverent, farcical, mocking, ridiculous, sarcastic"
Horton Hears a Who!,6.51,3451,298572799,"rescue, elephant, jungle, who, cartoon elephant, dr. seuss"
Starship Troopers 3: Marauder,4.853,563,0,"space marine, starship, creature, marauder"
Diary of a Nymphomaniac,5.6,349,0,"eroticism, nymphomaniac, prostitution, softcore, red dress, promiscuous past, nymphomania"
Unstable Fables: Tortoise vs. Hare,5.7,32,0,"computer animation, race, tortoise, rival, hare"
Barbie in 'A Christmas Carol',7.166,574,4496912,"based on toy, female protagonist, christmas, 3d animation"
The Mysteries of Pittsburgh,4.1,52,0,"based on novel or book, college, summer, graduate"
The Boy in the Striped Pyjamas,7.819,7466,20416563,"based on novel or book, nazi, nationalism, concentration camp, world war ii, gas chamber, concentration camp prisoner, children in wartime, anxious"
