title,vote_average,vote_count,revenue,keywords
Harry Potter and the Philosopher's Stone,7.899,28892,976475550,"witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, male friendship, child hero, school of witchcraft, chosen one, bullying, school, ghost, fantasy world, wizard, pre-teen, children's adventure, based on young adult novel, found family, owl, male female friendship, teen fantasy"
Spirited Away,8.534,17709,274925095,"witch, parent child relationship, darkness, bath house, magic, spirit, parallel world, amusement park, youkai, japanese mythology, anime"
The Lord of the Rings: The Fellowship of the Ring,8.426,26686,871368364,"based on novel or book, elves, dwarf, magic, obsession, bravery, fireworks, mine, maze, mountain, castle, birthday party, troll, battle, demon, blizzard, uncle nephew relationship, fantasy world, journey, ring, invisibility, live action and animation, hero's journey, wraith, sword and sorcery, trekking, good versus evil"
Shrek,7.753,18173,488628188,"princess, based on novel or book, magic, fairy tale, donkey, liberation, lordship, prince, castle, villain, robin hood, enchantment, swamp, parody, anthropomorphism, dragon, woman director, ogre, cartoon donkey, quirky comedy"
"Monsters, Inc.",7.847,19280,579700000,"monster, panic, cheating, kidnapping, door, infant, villain, portal, rivalry, energy supply, friends, hijinks, best friend, chameleon, family, parallel world, conveyor belt, duringcreditsstinger, villain arrested, invisibility, energy company, conspirators"
The Mummy Returns,6.388,7413,443280904,"egypt, pyramid, son, mummy, nile, sequel, tomb, ancient egypt, 1930s, egyptian tomb, good versus evil, witty"
Ocean's Eleven,7.452,12186,450717150,"casino, pickpocket, heist, con artist, remake, caper, las vegas, inside man, security guard, ex-wife, ex-con, card dealer, explosives expert, security system, casino owner, professional thief, fight night, master plan, computer hacker, distractions, museum curator, casino vault, contortionist"
A.I. Artificial Intelligence,7.052,6468,235926552,"android, prostitute, artificial intelligence (a.i.), prophecy, loss of loved one, extraterrestrial technology, fairy tale, dystopia, adoption, ice age, prosecution, gigolo, hologram, alien, robot, destiny, capture, doppelgänger, human android relationship, robot boy, advanced technology"
The Pledge,6.571,1169,29419291,"promise, murder, drawing, porcupine, pledge, retirement party, police profiling"
Shaolin Soccer,7.144,2431,42776760,"martial arts, kung fu, sports, steel helmet, stadium, champion, shaolin, football (soccer), football (soccer) player"
Amélie,7.913,12051,173921954,"daughter, paris, france, love triangle, photography, ghost train, sex shop, shyness, journey around the world, postcard, romcom, hypochondriac, romance, cafe, kindness, magic realism, child's point of view, montmartre, paris, neighbor neighbor relationship, father daughter relationship, happy ending, childhood memory"
American Pie 2,6.246,5140,287553595,"summer, beach house, group of friends, nostalgic, tantra, superglue, sex comedy"
The Emperor's New Clothes,6.7,42,0,"based on novel or book, exile, napoleon bonaparte, 19th century"
Life as a House,7.085,435,23903791,"california, parent child relationship, house, cancer, juvenile delinquent, drugs, divorce, family, fired from the job, second chance, ex-wife, unemployment, building a house, father son relationship"
Scary Movie 2,5.811,4931,141220678,"exorcism, haunted house, parody, spoof, horror spoof, secret door, college student, school project, haunted mansion, horror parody"
Sind denn alle netten Männer schwul,5.5,2,0,woman director
Der Tanz mit dem Teufel - Die Entführung des Richard Oetker,7.0,2,0,miniseries
Di Gi Charat: A Trip To The Planet,4.5,4,0,"space travel, based on manga, anime"
Pearl Harbor,6.939,6802,449220945,"army, airplane, nurse, patriotism, hawaii, world war ii, pilot, pearl harbor, u.s. air force, dyslexia, pacific war, love, pin-up, melodramatic"
It's Hard Killing Someone Even on a Monday,7.4,5,0,short film
Baliktaran: Si Ace at si Daisy,1.0,2,0,lgbt
Zebra Lounge,4.262,42,0,"swinger club, obsession, marriage, suburbia, romance, anger, swinger, voyeurism, woman director, erotic movie"
Thir13en Ghosts,6.294,2286,68467960,"sacrifice, self sacrifice, single parent, chase, supernatural, haunted house, family relationships, remake, money, revenge, betrayal, inheritance, last will and testament, devil, survival horror, evil, ghost, curious, frightened, ghoulish"
Donnie Darko,7.767,13038,7500000,"high school, airplane, parent child relationship, presidential election, therapist, school performance, halloween, time travel, vandalism, surrealism, loss, imaginary friend, suburbia, arson, vision, school, mental illness, virginia, sleepwalking, paranoid, 1980s, parallel universe, depressing"
Mad Love,6.1,71,0,"16th century, 15th century, spanish history, house of habsburg, hispanic monarchy (spanish empire), holy roman empire, spanish royal family"
Black Hawk Down,7.388,6127,172989651,"based on novel or book, ambush, chaos, militia, prisoner of war, wound, somalia, warlord, famine, arms dealer, based on true story, delta force, gunfight, combat, us military, 1990s, somber, helicopter crash, mogadishu, rescue operation, peacekeeper, soldiers, street shootout"
The Princess Diaries,6.965,5159,165335153,"princess, high school, based on novel or book, grandparent grandchild relationship, heir to the throne, royalty, social outcast, fictitious country, based on young adult novel, bold, joyful"
"Ooops, Teka Lang... Diskarte Ko 'To!",6.0,1,0,philippines
The Devil's Backbone,7.3,1306,6582065,"spain, orphanage, spanish civil war (1936-39), gothic horror, ghost, political repression, 1930s, isolated place, supernatural being, ghost child"
