title,vote_average,vote_count,revenue,keywords
Bureau 749,6.1,55,51706251,"joyful, mezcla documental y ficción"
High Forces,6.036,28,41923655,"airplane, hijacking, airplane hijacking, disaster"
A Legend,6.9,125,11242056,"burlesque, inspirational, admiring, amused, awestruck, hopeful"
200% Wolf,5.7,28,4543,"werewolf, based on children's book, dog"
Bramayugam,7.6,64,10000000,"black magic, sorcerer, black and white, witchcraft, dark fantasy, old mansion, folk horror, folktale, haunted mansion, supernatural horror, experimental, arthouse horror, arthouse, fantasy folk"
Art of Eight Limbs,6.4,37,0,"martial arts, undercover agent, action thriller"
Kulong,6.0,7,0,"lesbian relationship, lgbt, lesbian, girls' love (gl), lesbian romance, sexy"
The Prosecutor,6.8,159,128093757,"court, drug trafficking, attempted murder, based on true story, killer, wrongful conviction, political corruption, gun fight"
Wicked,6.928,2685,758737211,"witch, dancing, based on novel or book, college, wish, musical, female friendship, bullying, based on play or musical, celebrity, prequel, singer, singing, corrupt politician, death in childbirth, fantasy world, wizard, gravity, discrimination, ostracism, woman in wheelchair, musical comedy, sister sister relationship, belonging, cautionary, fantasy, stereoscopic film, romantic fantasy, whimsical"
EKS,3.2,5,0,"softcore, lgbt, erotic, lesbian, sexy"
Operation Blood Hunt,6.74,52,0,"world war ii, south pacific, japanese imperialism"
Moana 2,7.019,2816,1059242164,"sea, ocean, villain, musical, sequel, coming of age, duringcreditsstinger, hopeful"
Inside Out 2,7.548,6297,1698863816,"sadness, disgust, sequel, computer animation, teenage girl, fear, anger, envy, aftercreditsstinger, duringcreditsstinger, thoughtful, emotions, embarrasment, anxious, introspective, joy, anxiety, witty, assertive, cheerful"
Red One,7.031,2773,185700759,"rescue, bounty hunter, holiday, kidnapping, santa claus, rescue mission, polar bear, rescue team, christmas, action comedy, christmas eve, family comedy, defence team, baffled"
Furiosa: A Mad Max Saga,7.461,4535,174287546,"chase, post-apocalyptic future, warlord, prequel, wasteland, spin off, struggle for survival, desert, tyrant, tyranny, masculinity, grim, revenge murderer, mother daughter relationship, anxious, child abduction, car, bold, brisk"
The Storm,6.267,15,0,donghua
Deadpool & Wolverine,7.6,8005,1338073645,"hero, superhero, anti hero, mutant, breaking the fourth wall, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mutants, superhero teamup"
Despicable Me 4,7.006,2992,969597394,"superhero, villain, sequel, super villain, aftercreditsstinger, duringcreditsstinger, kids, calm, illumination"
Sonic the Hedgehog 3,7.644,3047,492162604,"moon, sequel, based on video game, psychotic, dual role, aftercreditsstinger, duringcreditsstinger, hedgehog, live action and animation, complex, grandfather grandson relationship, animal human friendship, anthropomorphic animal, loss and grief"
Kingdom of the Planet of the Apes,7.056,3995,397378150,"empire, kingdom, gorilla, dystopia, post-apocalyptic future, eagle, sequel, anthropomorphism, distant future, ape, orangutan, biting, evolution, chimpanzee, primate, sign languages, journey, cgi-live action hybrid, evil tyrant, antagonistic, brisk, earnest, forceful"
Lover,7.286,14,0,"relationship problems, childhood trauma, misunderstanding, toxic relationship, abusive relationship, romantic drama, controlling"
Venom: The Last Dance,6.672,3890,478937618,"hero, superhero, anti hero, villain, alien life-form, based on comic, sequel, aftercreditsstinger, woman director"
Marco,6.6,90,11559000,"toxic, revenge killing, family man, aggressive, action hero, amused"
Ask Me What You Want,6.2,252,2265661,"spain, based on novel or book, woman director, erotic romance, cine español"
The Wild Robot,8.318,5553,331982078,"villain, robot, based on children's book, female villain, aftercreditsstinger, duringcreditsstinger, kids, adopted son, inspirational, traditional parenting, comforting, hopeful"
Kraven the Hunter,6.47,2122,62076533,"hunter, superhero, villain, based on comic, supervillain, antihero, intense, admiring, ominous"
Pacific Fear,4.486,36,0,"rescue, surfing, canoe, rape attempt, bound and gagged, lost tribe, god complex, nuclear testing, left for dead, stabbed to death, haunted island, girls trip"
Striking Rescue,7.42,144,0,revenge
Dune: Part Two,8.134,7262,714844358,"based on novel or book, sandstorm, chosen one, romance, tragedy, distant future, tragic hero, creature, planet, desert, destiny, giant worm, space opera, sand dune, allegorical, messiah, fall from grace, vengeance, religious allegory, giant creature, power, ambiguous, antagonistic, exuberant, melodramatic, used generative a.i."
Flow,8.122,2480,17660107,"ocean, cat, boat, dystopia, dog, ruins, flood, lemur, kids, bird, 3d animation, no dialogue, teamwork, fantasy, capybara, adventure, barco, gato, labrador"
Spithood,5.2,14,0,"asylum, serial killer, killing spree"
The Day the Earth Blew Up: A Looney Tunes Movie,7.682,181,15076954,"chewing gum, zombie, alien invasion, buddy comedy, duringcreditsstinger, chaotic, playful, based on tv series, hilarious, slapstick"
Sweet Dreams,5.2,28,0,"sports, softball, alcoholic, sobriety, sober, addiction recovery, 12 step program, sober living house"
Your Fault,7.1,1462,0,"based on novel or book, suicide attempt, sequel, mental health, romantic drama"
Godzilla x Kong: The New Empire,7.072,4422,571750016,"giant monster, sequel, dinosaur, monkey, kaiju, fantasy world, giant ape, godzilla, king kong, amused, bold, cliché"
The Substance,7.145,5426,76506196,"new year's eve, capitalism, birthday, black market, identity, beauty, satire, aging, celebrity, female protagonist, los angeles, california, has been, aerobics, disfigurement, woman in jeopardy, woman director, substance, grim, beauty standards, insecure woman, self image, toxic masculinity, drug, body horror, female rage, youth, actress, critical, ambiguous, bold, condescending, farcical, sardonic"
Mufasa: The Lion King,7.34,2461,722631756,"friendship, paradise, lion, musical, prequel, jungle, told in flashback, betrayal by friend, chance meeting, live action remake, found family, lost"
