title,vote_average,vote_count,revenue,keywords
Zootopia,7.757,17291,1025521689,"sheep, allegory, lion, hippopotamus, cartoon, villain, bullying, polar bear, con artist, anthropomorphism, revenge, conspiracy, urban, female protagonist, rookie cop, missing person, fable, racial prejudice, injustice, reconciliation, female villain, buddy cop, stereotype, cartoon rabbit, villain arrested, discrimination, cartoon bear, cartoon animal, inspirational, cartoon fox, cartoon elephant, admiring, amused"
Your Name.,8.48,12152,358000000,"high school, race against time, dreams, afterlife, natural disaster, supernatural, time travel, comet, romance, tragedy, school, body-swap, high school student, nonlinear timeline, naked, star crossed lovers, power of love, anime, japanese high school, loving, romantic"
Now You See Me 2,6.8,11225,334897606,"prison, new york city, magic, kidnapping, fbi, card trick, secret society, hypnosis, illusion, twin brother, heist, revenge, vigilante, on the run, fake death, macau, curious, perception, illusionist, secrecy, illusionism, debunker, sleight of hand, mischievous, fbi agent, intense"
Adidas Vs. Puma: The Brother's Feud,7.0,143,0,"sports, biography, based on true story"
Boyka: Undisputed IV,7.174,1411,413334,"prison, sports, wife, affectation, sequel, accidental death, fighting, hostile, critical, intense, ambivalent, antagonistic, appreciative, assertive, authoritarian, complicated, conceited, defiant, disheartening, earnest, empathetic, excited, gentle"
Me Before You,7.924,12914,207945075,"depression, small town, based on novel or book, england, artist, wheelchair, romance, love, caretaker, caregiver, disabled, valentine's day, twenty something, woman director, accident"
Deadpool,7.623,32133,782837347,"superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger"
Batman v Superman: Dawn of Justice,5.988,18627,874362803,"superhero, based on comic, revenge, vigilante, super power, dc extended universe (dceu)"
Train to Busan,7.747,8067,87547518,"halloween, zombie, train, survival horror, pandemic, hostile, busan, south korea, south korea, cruel, frightened, ghoulish"
Arrival,7.623,18779,203388186,"spacecraft, extraterrestrial technology, loss, time, alien, language, female protagonist, scientist, heartbreak, based on short story, alien contact, military, alien language, linguist, first contact, communication, philosophical, linguistics, time-manipulation, determinism, time manipulation"
Maudie,7.719,551,6170998,"canada, nova scotia, canada, romance, art, disability, woman director, bitter, empathetic, sympathetic"
Fantastic Beasts and Where to Find Them,7.311,19366,809342332,"witch, new york city, robbery, escape, teleportation, magic, suitcase, mistake, spin off, subway station, wizard, goblin, magical creature, 1920s, based on young adult novel, جانوران شگفت‌انگیز و زیستگاه آنها, fantastic beasts and where to find them"
The Handmaiden,8.2,4108,38600000,"jealousy, based on novel or book, library, pickpocket, con man, swindler, lesbian relationship, mansion, lust, lgbt, noblewoman, shocking, erotic thriller, con woman, 1930s, lady's maid, handmade, seducer, japanese occupation of korea, lesbian, girls' love (gl), excited"
Hacksaw Ridge,8.192,14459,175302354,"japan, hero, world war ii, abusive father, affectation, pacifism, bible, gore, vegetarian, biography, based on true story, okinawa, conscientious objector, religion, soldier, alcoholic, war hero, pacifist, medic, us military, battle of okinawa, congressional medal of honor, amused, combat medic, weaponless, seventh-day adventists"
Captain America: Civil War,7.4,23564,1155046416,"superhero, based on comic, sequel, super soldier, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), superhero teamup"
La La Land,7.898,17665,509183536,"dancing, dance, jazz, musical, ambition, casting, coffee shop, jazz club, traffic jam, hollywood, los angeles, california, pianist, pier, audition, valentine's day, planetarium, aspiring actor, movie set, sunset, one-woman show, pool party, white savior, griffith observatory, bold, exuberant"
Miles Ahead,6.4,231,3460466,"jazz, biography, historical figure, miles davis"
Rustom,6.7,129,26309214,jury trial
Pettson and Findus: The Best Christmas Ever,5.2,18,0,"cat, christmas"
Never Back Down: No Surrender,7.1,497,0,"martial arts, sports, fight, training, champion"
Keeping Up with the Joneses,6.091,2098,29900000,"spy, suburb, new neighbor, neighborhood"
Billy Lynn's Long Halftime Walk,6.018,605,30930984,"post-traumatic stress disorder (ptsd), based on novel or book, war veteran, american football, thanksgiving, cheerleader, soldier, iraq war, producer, effects from the past"
The Tuche Family: The American Dream,5.57,1004,35210425,"lottery, sequel, los angeles, california"
Doctor Strange,7.418,22964,676343174,"magic, superhero, training, time, based on comic, sorcerer, doctor, neurosurgeon, injury, wizard, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), suspenseful, médico"
A Silent Voice: The Movie,8.4,4282,30819442,"high school, friendship, suicide, suicide attempt, deaf, bullying, coming of age, school, based on manga, adult animation, woman director, sign languages, shounen, anime, social anxiety, japanese high school, japanese school, intense, awestruck"
Sully,7.196,7518,240800000,"rescue, new york city, airplane, investigation, pilot, based on true story, emergency landing, flight, aviation, airplane accident, based on memoir or autobiography, bird attack, hudson river, duringcreditsstinger, powerful"
Kubo and the Two Strings,7.633,3718,76249438,"japan, samurai, magic, forgiveness, stop motion, storytelling, origami, feudal japan, mother son relationship"
USS Indianapolis: Men of Courage,5.875,638,2158568,"world war ii, based on true story, 1940s"
X-Rated 2: The Greatest Adult Stars of All-Time,6.712,104,0,"interview, porn star"
Tom and Jerry: Back to Oz,6.0,62,0,"magic, cartoon, villain, sequel, anthropomorphism, king, animals, wizard"
Santa Swap: Merry Christmas Mr. Andersen,5.579,20,5539724,"santa claus, christmas"
Dirty Games: The Dark Side of Sports,8.8,2,0,"corruption, sports, gambling, basketball, organized crime, football (soccer), professional sports, national basketball association (nba), referee, fixed fight, boxing, sports gambling"
The Conjuring 2,7.3,8955,322819915,"london, england, england, 1970s, spirit, single mother, demon, paranormal investigation, demonic possession, ghost, christmas, grim, valak, the conjuring universe"
Vampire Sisters 3: Journey to Transylvania,6.8,92,0,"vampire, teenage girl, based on children's book, transalvania"
My Big Fat Greek Wedding 2,5.981,1051,90632641,"married couple, greece, greek, sequel, wedding, family problems, meddling parents"
The Jungle Book,6.868,8336,966550600,"based on novel or book, snake, elephant, wolf, tiger, feral child, anthropomorphism, remake, jungle, bear, orphan, ape, monkey, animals, talking to animals, live action and animation, live action remake, clinical"
Sing,7.12,8265,634151679,"anthropomorphism, singing, animals, flood, singing competition, talking animal, illumination, 3d animation, brisk"
Seasons,7.0,68,0,"wolf, nature documentary"
Pop in Q,5.3,25,0,"dance, coming of age, anime, bishoujo, isekai"
The Autopsy of Jane Doe,6.8,4558,6170043,"parent child relationship, supernatural, crematorium, autopsy, morgue, murder, bell, corpse, thunderstorm, coroner, pathologist, autopsy room, elevator, cause of death, ax"
Shin Godzilla,7.216,1483,78053145,"japan, monster, bureaucracy, politics, giant monster, nuclear radiation, political incompetence, tokyo, japan, destruction, reboot, kaiju, hopeless, satirical, political turmoil, human made disaster, godzilla, nuclear disaster, us japan relations, tokusatsu, intense"
Ivan Tsarevitch and the Changing Princess,7.3,31,0,"tale, computer animation, short compilation, silhouette animation"
Trolls,6.632,3730,347337803,"friendship, hunger, villain, musical, based on toy, troll, kids, jukebox musical"
Ghostbusters,5.351,6647,229147509,"female friendship, ghost hunting, reboot, ghost"
The Birch,6.8,62,0,"monster, magic, bullying, woods, guardian, dryad, short film"
Kung Fu Panda 3,6.921,6379,521170825,"martial arts, kung fu, china, fighter, village, villain, sequel, panda, anthropomorphism, dragon, wuxia, woman director, talking animal, 3d animation"
"Debra Paget, For Example",3.2,5,0,"essay film, fictional biography, debra paget"
The Light Between Oceans,7.069,1392,25975621,"australia, based on novel or book, marriage, lighthouse, lighthouse keeper   , miscarriage, lost child, 1920s, western australia"
Grand Hotel,4.9,18,0,"hotel, friendship, alcoholism, norway, tourette syndrome, author, single mother"
The Visitors: Bastille Day,4.2,705,18552314,"nazi, castle, time travel, robespierre"
All Yours,5.7,31,0,"single mother, woman director, male nanny, hallmark, manny"
For Sofia,5.0,1,0,"revenge, murder"
Hunters in the Night,2.75,4,0,woman director
1898: Our Last Men in the Philippines,6.5,174,0,"spain, siege, philippines, church, philippine army, spanish–american war (1898), philippine history, military outpost"
Swiss Army Man,6.9,3677,5800000,"beach, friends, survival, dead body, corpse, deserted island, buddy comedy, fart"
Trespass Against Us,5.8,338,517197,"parent child relationship, gangster, poacher, family, crime family"
Worst Fears,4.0,2,0,anthology
Jack Reacher: Never Go Back,5.997,5160,162100000,"based on novel or book, homicide, falsely accused, opium, new orleans, louisiana, sequel, false accusations, hdd, intense, vibrant"
Scare Campaign,5.761,201,0,"serial killer, prank gone wrong, masked killer"
Hidden Figures,8.051,10185,235957472,"nasa, mathematics, sexism, biography, racial segregation, racism, historical fiction, scientist, space race, discrimination, 1960s, space program, african american history, apologetic, arrogant, authoritarian, callous, condescending, disrespectful, frustrated"
Hard Target 2,6.212,297,0,"sequel, mixed martial arts (mma), jungle, retired, human prey, union of myanmar (burma)"
X-Men: Apocalypse,6.5,13475,543934787,"hero, superhero, mutant, based on comic, superhuman, super power, superhero team, world domination, aftercreditsstinger, 1980s, appreciative"
Science Fiction Volume One: The Osiris Child,5.642,517,0,"space, colonisation, creature"
Up for Love,6.0,862,0,"forbidden love, remake, lawyer, tolerance, father son relationship"
The Witch,6.996,7425,40423945,"witch, isolation, magic, possession, black magic, older woman seduces younger guy, new hampshire, woods, goat, puritan, religion, crying, false accusations, witchcraft, new england, praying, 17th century, folk horror, evil force, english colony, callous, foreboding"
Nuts!,6.7,29,0,"goat, testicles, woman director, goat testicles"
The Legend of Tarzan,5.914,6380,356743061,"africa, animal attack, feral child, tarzan, jungle"
Independence Day: Resurgence,5.351,6292,389681935,"alien, alien invasion"
Lotte Jäger und das tote Mädchen,4.2,3,0,cold case
Glyndebourne Live: Il barbiere di Siviglia,0.0,0,0,"opera, rossini, glyndebourne"
DC Super Hero Girls: Super Hero High,5.8,19,0,"superhero, teen superhero"
Mama geht nicht mehr,4.5,1,0,"cheating, cancer, woman director, cancer treatment"
The Warriors Gate,6.6,364,0,"king, barbarian, war"
The Accountant,7.131,7082,155160045,"prison, sniper, assassin, autism, military service, money, treasury department, sniper rifle, gunfight, loner, hand to hand combat, numbers, accountant, math genius, brother brother relationship"
Plan B,6.5,27,6666,martial arts
Saca - O filme de Tiago Pires,0.0,0,0,surfer
Suicide Squad,5.919,21747,749200054,"secret mission, superhero, anti hero, villain, supervillain, dc extended universe (dceu)"
The Stuff of Dreams,7.0,31,0,"italy, sardinia, italy, camorra"
Kung Fu Panda: Secrets of the Scroll,6.836,225,0,family
Mom's Friend 2,6.1,15,0,softcore
Bob Hope: Entertaining the Troops,0.0,0,0,"american serviceman, touring entertainers"
Spa Night,5.581,31,38578,"night life, los angeles, california, spa, lgbt, koreatown, korean american, gay theme, korean"
The Chamber,5.378,37,0,"submarine, murder, drone, explosion, trapped, military, trapped underwater , special ops, yellow sea"
The Journey Is the Destination,6.426,34,0,"journalist, africa, somalia, based on true story, murder, angry mob, woman director, mob"
Christmas Cookies,5.955,78,0,"holiday, christmas"
London Has Fallen,6.22,4962,205754447,"london, england, usa president, terrorism, political assassination, terrorist attack, absurd"
Der Island-Krimi: Der Tote im Westfjord,5.813,8,0,murder
10 Cloverfield Lane,6.995,8386,110216998,"kidnapping, paranoia, bunker, basement, survivalist, apocalypse, car accident, captive"
Pelé: Birth of a Legend,7.341,1128,27312,"sports, biography, football (soccer), inspirational"
Chapo: El Escape Del Siglo,5.5,30,0,"police, drug trafficking, drug dealing, corrupt system, narco"
Voyage of Time: The IMAX Experience,6.9,70,0,"philosophy, short film"
Ben-Hur,5.76,1741,94061311,"based on novel or book, christianity, chariot race, ancient rome, remake, betrayal, 1st century, jesus christ, vengeance"
Ice Age: Collision Course,6.117,4776,408579038,"fire, fireworks, mammoth, sequel, prehistory, singing, critically bashed, cavemen, meteor crash"
A Cinderella Story: If the Shoe Fits,7.2,850,0,"dance, dancer, fairy tale, musical, celebrity, orphan, modern fairy tale"
Ice Age: The Great Egg-Scapade,6.392,492,0,"squirrel, mammoth, ice age, easter, prehistory, anthropomorphic animal"
A Christmas to Remember,6.1,74,0,"amnesia, blizzard, christmas"
The World's Greatest Head Massage: An ASMR Journey,6.7,3,0,"asmr, head massage"
Bilal: A New Breed of Hero,6.834,157,1750000,"hero, dreams, legend, freedom, greed, based on true story, sister, religion, adult animation, injustice, warrior, abducted"
The Phenom,5.5,69,0,"sports, baseball"
Mothers and Daughters,5.3,123,0,"daughter, mother, photographer, holiday, anthology, mother's day"
