title,vote_average,vote_count,revenue,keywords
Black Swan,7.686,15174,329398046,"new york city, dancing, dancer, nightmare, competition, obsession, insanity, paranoia, hallucination, ballet dancer, ballet, female protagonist, psychological thriller, fear, heartbreak, mental illness, madness, reality vs fantasy, swan lake, ballerina, stage performance, self-harm, mother daughter relationship, self destructiveness, theater, intense, pointe shoes"
Clash of the Titans,5.9,6519,493214993,"hades, mythology, greek mythology, zeus, god, mythological beast, medusa, sea monster, perseus, kraken, ancient greece, based on myths, legends or folklore"
The Kids Are All Right,6.613,1547,34705850,"lesbian relationship, dinner, motorcycle, argument, artificial insemination, control freak, vegetable garden, woman director, jantar, homossexualismo"
30 Days of Night: Dark Days,5.0,556,0,"hero, vampire, supernatural, based on comic, rivalry, revenge, interrogation, wrist slitting, coughing blood, burnt body, corrupt agent, death of husband, escapade, imaginary, deadly, track down"
Undisputed III: Redemption,7.54,973,282548,"prison, showdown, fight, shotgun, prison cell, fighter, champion, sequel, beating, jail, tournament, brutality, jail cell, prison fight, carrot"
Incendies,8.105,3086,6788659,"prison, rape, middle east, muslim, militia, orphanage, son, interpreter, swimming pool, massacre, checkpoint, political assassination, twins, incest, will, domineering, lebanese civil war, lebanon, intense, mother son incest, incest rape"
All Flowers in Time,5.0,7,0,surrealism
Role/Play,5.5,27,0,"coming out, celebrity, price of fame, divorced man, gay theme"
Elite Squad: The Enemy Within,7.827,1971,63027681,"police, drug trafficking, affectation, grave, penitentiary, melancholy, jail, torture, execution, drugs, criminal, nostalgic, taunting, duringcreditsstinger, hard, meditative, angry, aggressive, zealous, candid, malicious, cautionary, clinical, inspirational, intimate, provocative, absurd, dramatic, whimsical, admiring, adoring, ambiguous, ambivalent, antagonistic, appreciative, approving, arrogant, assertive, awestruck, callous, celebratory, commanding, earnest, empathetic, enchant, enraged, exuberant, familiar, informative, matter of fact, melodramatic, sarcastic, tragic, vibrant"
Dear John,6.846,4231,114977104,"army, based on novel or book, romance, love, u.s. soldier, 9/11"
Outrage,6.865,444,8428636,"japan, tattoo, yakuza, restaurant, hand grenade, police corruption, criminal underworld, roulette wheel, hanging, chopsticks, power politics, racist comment, crime family, cynical, gang member, power struggle"
The Debt,6.569,929,45636368,"mossad, beach, secret agent, insane asylum, lye, syringe, lost of friend"
The Other Guys,6.319,4412,170432927,"new york city, detective, narration, sarcasm, nypd, buddy cop, ceo, buddy comedy, carjacking, jumping off a building, aftercreditsstinger, explosions, partners"
Piranha 3D,5.409,2330,83188165,"grave, film in film, scuba diving, creature, piranha, spring break, man eating monster, aftercreditsstinger, ghoulish"
Megamind,7.014,7238,321885765,"prison, fish, saving the world, date, gun, secret identity, superhero, anti hero, dna, mayor, museum, rain, villain, one-sided love, anthropomorphism, reporter, super villain, duringcreditsstinger, alien baby, stronger villain, invincible"
The Karate Kid,6.564,6381,359126022,"martial arts, duringcreditsstinger, karate kid, intense, pretentious, straightforward, tragic"
Mo,5.7,9,0,"politics, politician, biography, northern ireland, ira (irish republican army), british government"
A Nightmare on Elm Street,5.5,2836,115665418,"child abuse, dreams, supernatural, elementary school, remake, revenge, slasher, child molester, burn victim, reboot, reality vs fantasy, dark fantasy, repressed memory, nightmare becomes reality, sleep deprivation, pre-school, loss of innocence, coping mechanisms, sexual predator, complex, supernatural horror, repressed trauma, vigilante justice, underrated, parents and child, nightmares, cruel, mean spirited, accusation of child molestation"
How Do You Know,5.324,1027,48668907,"love triangle, baseball, aftercreditsstinger"
The Town,7.215,5390,154026136,"drug dealer, based on novel or book, ambulance, boston, massachusetts, money laundering, irish-american, bank manager, massachusetts, florist, flower shop, stolen money, hold-up robbery, volunteer, heist, friends, boston garden, shootout, police chase, best friend, bank robbery, car fire, fenway park, criminal gang, desperate, fbi agent, violence"
The Expendables,6.247,8076,274470394,"rescue, sniper, island, martial arts, tattoo, escape, mercenary, bridge, church, drugs, blade, duringcreditsstinger, exhilarated"
Paradise for two,6.1,16,0,romcom
The Chameleon,5.3,46,0,"sibling relationship, fbi"
Fair Game,6.456,825,25806953,"central intelligence agency (cia), politician, iraq, nuclear scientist, duringcreditsstinger"
Tinker Bell and the Great Fairy Rescue,6.757,984,0,"rescue, london, england, countryside, flying, parent child relationship, magic, fairy tale, fairy, vacation, friends, growing up, summer, scientist, father daughter conflict, tinkerbell"
Gulliver's Travels,5.212,2478,237382724,"princess, journalist, forbidden love, royal court"
S.N.U.B!,2.3,3,0,"radiation, bunker, apocalypse, terrorist plot, contamination, terrorist bombing, nuclear device"
True Grit,7.306,5560,252300000,"bounty hunter, based on novel or book, father murder, loss of loved one, texas ranger, arkansas, alcoholism, remake, betrayal, eye patch"
2010 NBA Champions: Los Angeles Lakers,8.0,1,0,"sports, basketball, national basketball association (nba)"
The King's Speech,7.735,9077,414211549,"great britain, marriage, stutter, monarchy, palace, radio, radio transmission, royal family, biography, based on true story, death of father, speech, royalty, historical fiction, period drama, king of england, 1930s, british royal family, british monarchy, winston churchill, stammering, speech therapy, corgi, relaxed, dramatic, witty, intense"
The Possession of David O'Reilly,4.65,30,0,"possession, fake documentary"
I Saw the Devil,7.796,2856,12966357,"psychopath, cemetery, police chief, secret agent, revenge, murder, serial killer, mercilessness, severed head, brutality, cannibal, blunt, tracking device, grim, south korea, sadistic killer"
Conviction,7.066,636,11826980,"prison, sibling relationship, massachusetts, investigation, trial, money, law school, murder, christmas"
The Chronicles of Narnia: The Voyage of the Dawn Treader,6.442,5769,415686217,"based on novel or book, magic, lion, anthropomorphism, dragon, king, turns into animal, fantasy world, snowing, sea voyage, quest, high fantasy, isekai, father son relationship, brother sister relationship, based on young adult novel, anxious, good versus evil, adoring"
RED,6.703,6970,199006387,"assassin, central intelligence agency (cia), undercover agent, kidnapping, assault rifle, based on comic, shootout, sniper rifle, explosion, retired, female spy, government agent, undercover operation, black ops, first date, aggressive, vibrant"
The Next Three Days,7.082,2998,67448651,"passport, murder, argument, county jail, fingerprint, appeal, escape artist, innocent"
Wall Street: Money Never Sleeps,6.091,1620,134748021,"wall street, duringcreditsstinger, hostile, domineering, complex, anxious, cautionary, audacious, doubtful"
Ghost from the Machine,7.389,18,0,"machine, ghost"
"My Son, My Son, What Have Ye Done",6.1,219,0,"detective, surrealism, flashback, murder, crime scene, hostage situation, police standoff, eccentricity, disturbed individual"
Love & Other Drugs,7.038,5438,102800000,"letter, sexual freedom, love, viagra, free spirit"
Mobile Suit Gundam 00 The Movie: -A Wakening of the Trailblazer-,6.3,32,0,"space war, sequel, space, mecha, alien infection, understanding, alien attack, anime, based on anime, based on tv series, gundam"
The Book of Eli,6.795,6460,157107755,"faith, chaos, dystopia, post-apocalyptic future, bible, survival, gunfight, blind, brutality, cannibal, combat, 2040s, carnage"
Jew Suss: Rise and Fall,5.0,28,0,"nazi, propaganda, movie business, based on true story"
The Last Airbender,4.646,4146,319713881,"fire, kingdom, war ship, village, prince, arrest, based on cartoon, attack, air, spirit, domination, cheering, burlesque, disapproving, disdainful, forceful"
Donkey's Christmas Shrektacular,5.777,184,0,"christmas, short film"
The Twilight Saga: Eclipse,6.201,9074,698491347,"based on novel or book, immortality, vampire, bite, graduation, teen movie, werewolf, based on young adult novel, supernatural power, vampire human love, گرگ و میش : خسوف, گرگ و میش 3, خسوف"
Why Did I Get Married Too?,6.5,162,60673972,"marriage crisis, married couple, bahamas, male friendship, mental breakdown, female friendship, vacation, ex husband, sequel, biting, illness, marital separation, analysis, emasculation, black cinema, anxious, secrets, apologetic"
Space Chimps 2: Zartog Strikes Back,4.398,113,0,"space travel, alien, astronaut, chimpanzee"
Justice League: Crisis on Two Earths,7.3,754,0,"saving the world, superhero, surrealism, based on comic, super power, woman director"
Robin Hood,6.395,4862,321669741,"robin hood, archer, sherwood forest, knight, historical fiction, bow and arrow, middle ages (476-1453), medieval, king of england, 12th century, whimsical, appreciative, vibrant"
The Man from Nowhere,7.699,1418,43059790,"friendship, martial arts, assassin, hero, hitman, child labour, human trafficking, protection, revenge, tragic hero, disappearance, drugs, detached, neo-noir, organ trafficking, sentimental, ambiguous, earnest, straightforward"
No Reason,3.368,19,0,erotic movie
And Soon the Darkness,5.24,396,177182,"kidnapping, remake, murder, argentina, torture"
BloodRayne: The Third Reich,3.8,240,0,"nazi, vampire, sequel, sword fight, beautiful woman, female protagonist, based on video game, heroine"
Exit Through the Gift Shop,7.543,922,4790751,"painting, graffiti, fraud, cousin, street artist, prank, eccentric, fame, art, art gallery, modern art, found footage"
Legion,5.9,2765,67918658,"angel, supernatural, diner, religion, apocalypse, demon, desert, dark fantasy, supernatural horror, hopeful, horrified"
Life During Wartime,5.901,142,744816,"florida, dark comedy, bar mitzvah, sequel, pedophile"
Ways to Live Forever,6.986,35,0,"melancholy, leukemia, death, child cancer, philosophical, death of a child, life goals, earnest"
Jo's Boy,5.917,115,0,"parent child relationship, rugby"
Life Is a Wonderful Thing,5.5,98,6161728,"love, betrayal, interwining"
