title,vote_average,vote_count,revenue,keywords
Old Henry,7.285,642,77463,"double cross, hidden cache, headstrong son, hell unleashed, old west legend, branded gang, familiar"
Spider-Man: No Way Home,7.936,21345,1921847111,"new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, masked vigilante, spider web, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, teamwork, ambiguous"
Dune,7.777,14190,407573628,"empire, future, army, based on novel or book, prophecy, dystopia, emperor, sand, spice, hallucinogen, treason, baron, revenge, premonition, betrayal, space, water shortage, creature, desert, knife fight, destiny, giant worm, space opera, sand dune, messiah, meditative, mother son relationship, giant creature, grand, intense, audacious"
The Matrix Resurrections,6.357,6207,156497322,"future, man vs machine, underground world, artificial intelligence (a.i.), computer, virtual reality, prophecy, dystopia, cyberpunk, aftercreditsstinger, dream world, philosophical, gnosticism, grand, romantic, sincere"
Shang-Chi and the Legend of the Ten Rings,7.5,10064,432243292,"martial arts, superhero, based on comic, mixed martial arts (mma), east asian lead, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), mysterious, father son relationship"
The Suicide Squad,7.5,9258,168717425,"monster, secret mission, superhero, anti hero, giant monster, gore, based on comic, alien, betrayal, alien invasion, convict, parasite, super villain, world domination, aftercreditsstinger, aggressive, dc extended universe (dceu), absurd, hilarious, intense, excited"
Yoon-Yool's Men Affairs,0.0,0,0,softcore
Wrath of Man,7.59,5838,103966489,"robbery, affectation, crime boss, revenge, shootout, shooter, los angeles, california, theft, security guard, ex soldier, aggressive, anxious, cash truck, admiring, adoring, ambiguous, ambivalent, antagonistic, commanding, earnest"
The Tomorrow War,7.488,3896,14400000,"world cup, time travel, global warming, glacier, alien, alien invasion, military, future war, father son reunion, hope for future, changing the past or future, message from the future, father son relationship, father daughter relationship, world war"
The King's Man,6.7,4878,125897478,"london, england, world war i, spy, based on comic, prequel, world domination, duringcreditsstinger, speculative, vexed, zealous, 1910s, unassuming, sympathetic"
Venom: Let There Be Carnage,6.758,10895,506863592,"hero, psychopath, superhero, anti hero, villain, alien life-form, based on comic, sequel, fear, aftercreditsstinger, symbiote, carnage"
After We Fell,7.017,2693,21753705,"based on novel or book, family history, love, teenage crush, woman director, family tension"
Jungle Cruise,7.318,5988,220889446,"jungle, riverboat, 1910s, amazon river, based on theme park ride"
Nobody,7.899,7923,57512470,"assassin, double life, fight, midlife crisis, bratva (russian mafia), secret organization, thief, home invasion, family, brawl, duringcreditsstinger"
Zack Snyder's Justice League,8.103,10512,0,"saving the world, superhero, resurrection, based on comic, superhero team, planet invasion, action hero, dc extended universe (dceu), superhero teamup"
Girl in the Basement,7.574,801,0,"imprisonment, based on true story, basement, controlling parent"
No Time to Die,7.355,6789,774153024,"based on novel or book, forgiveness, poison, spy, mi6, family, british secret service, parents, global threat, somber, nanobots, bold"
Free Guy,7.464,9431,331526598,"hero, artificial intelligence (a.i.), video game, virtual reality, gun, code, gamer, bank robbery, bank teller, programmer, mmorpg, heroic, lighthearted, vrmmo"
Cruella,8.0,9809,233503234,"1970s, anti hero, villain, punk rock, fashion designer, fashion, origin story, live action remake"
Encanto,7.6,9953,261292688,"strong woman, magic, sadness, immigration, supernatural, beauty, musical, big family, forest, family secrets, family relationships, flamenco, joy of life, teenage girl, female protagonist, family conflict, helping children, matriarch, colombia"
Luca,7.79,8748,51074773,"friendship, monster, italy, villain, coming of age, friends, bromance, sea monster, vespa, aftercreditsstinger, seaside town, 1950s, pasta, water, italian riviera, pesto, admiring"
The Boss Baby: Family Business,7.342,2642,146745280,"baby, boss, sequel, sibling, family"
The Conjuring: The Devil Made Me Do It,7.4,6356,206444123,"supernatural, exorcism, connecticut, sequel, paranormal investigation, 1980s, religious horror, intense, the conjuring universe"
Upon the Magic Roads,6.8,303,0,journey
Jujutsu Kaisen 0,8.115,1597,195870885,"supernatural, exorcism, paranormal, prequel, tragedy, curse, based on manga, spirit, demon, school life, shounen, anime"
AEW Revolution 2021: The Buy In,6.8,2,0,"pro wrestling, buy in, revolution aew"
Black Widow,7.186,10888,379751131,"assassin, hero, spy, kgb, based on comic, female assassin, female spy, female hero, aftercreditsstinger, marvel cinematic universe (mcu), woman director"
Les Enfoirés 2021 - Les Enfoirés à côté de vous,7.0,4,0,"benefit concert, farewell concert, french music, tribute concert, music show, musical adaptation"
Shadow in the Cloud,5.841,1026,1054290,"world war ii, gremlin, female pilot, woman director, flying fortress, absurd"
Billie Eilish: The World's a Little Blurry,8.2,322,0,"musician, pop star, coming of age, singer, tourette syndrome, teenage girl, family, aftercreditsstinger, feelings, portrait of an artist, music documentary, coachella, life and career, biographical documentary"
Peter Rabbit 2: The Runaway,7.1,861,153000000,"based on children's book, rabbit"
Don't Breathe 2,7.019,2733,53785551,"home, invasion, sin, sequel, gunfight, blind, home invasion, criminal, handgun, aftercreditsstinger, blind man, hammer"
The Voyeurs,6.5,1088,0,"infidelity, sexual obsession, espionage, photographer, eroticism, manipulation, seduction, montreal, canada, fashion photographer, sexual fantasy, role playing, neighbor, listening device, moving in, voyeurism, new apartment, art project, ophthalmologist, nude photography, anxious, peeping, depressing"
The Many Saints of Newark,6.311,717,13037403,"new jersey, italian american, gangster, prequel, mobster, mafia, gang, criminal, 1960s, newark, new jersey"
Mortal Kombat Legends: Battle of the Realms,7.603,469,0,"chosen one, based on video game, martial arts tournament, adult animation, extreme blood"
The Electrical Life of Louis Wain,6.936,488,0,"inventor, affectation, angry, 19th century, calm, candid, unassuming, cautionary, inspirational, casual, didactic, dramatic, critical, admiring, adoring, ambiguous, amused, celebratory, defiant, embarrassed, empathetic, enchant, enthusiastic, familiar, frustrated"
The Forever Purge,6.891,2609,76994245,"texas, sequel, prequel, murder, desert, survival horror, neo-western, purge, family surviving alone, guns and weapons"
The Power of the Dog,6.8,2846,0,"husband wife relationship, based on novel or book, sadism, sexuality, widow, montana, eroticism, banjo, cigarette, ranch, marriage, bullying, death of father, sexual tension, period drama, masturbation, alcoholic, humiliation, gender roles, cowboy, homoeroticism, lgbt, misogynist, mentor protégé relationship, woman director, medical student, drunkenness, masculinity, aggressive, animal cruelty, 1920s, hula hoop, mother son relationship, brother brother relationship, toxic masculinity, repressed sexuality, gay theme, brothers, homosexuality, 20th century, tense"
Eternals,6.8,8856,402064899,"superhero, supernatural, based on comic, alien, super power, lgbt, aftercreditsstinger, marvel cinematic universe (mcu), woman director, sign languages, ancient, god-like, clinical"
Boss Level,6.865,1799,2000000,"video game, time loop, philosophical, satirical, absurd, audacious, defiant, scathing"
"Batman: The Long Halloween, Part One",7.5,679,0,"holiday, superhero, halloween, based on comic, crime family, aftercreditsstinger"
F9,7.026,7529,726229501,"speed, family relationships, sequel, nostalgic, duringcreditsstinger, fast car, brother brother relationship, cars, farcical, აწყვეტილები"
Sing 2,7.836,4663,408402685,"wolf, stage, villain, sequel, anthropomorphism, singing, thug, animals, villain arrested, talking animal, illumination, 3d animation, suspenseful"
Rurouni Kenshin: The Final,7.724,523,33457923,"martial arts, japan, samurai, sword, revenge, murder, chambara, based on manga, killer, samurai sword, death, sword duel, jidaigeki, shinsengumi, hidden past, bakumatsu, violence, ishin shishi"
Snake Eyes: G.I. Joe Origins,6.5,1658,36964325,"prequel, ninja, based on cartoon, based on toy, spin off, origin of hero, gi joe, female fighter, action hero, female warrior, based on tv series"
Dancing Through the Snow,6.3,17,0,"holiday, christmas"
Evangelion: 3.0+1.0 Thrice Upon a Time,8.203,892,93882453,"technology, dystopia, post-apocalyptic future, mecha, giant robot, battle, anime, father son conflict, based on tv series, bold"
Shots Fired,7.0,1,0,"police brutality, gun violence, investigative reporter"
A Life for Movies: Lotte Eisner,8.5,2,0,"biography, historical figure, archive footage, founder, film critic, cinematheque, old footage, cinema history, film archives, famous people, national archives, cinema critic"
Werewolves Within,6.035,597,937490,"hotel, isolation, transformation, snowstorm, forest ranger, murder, werewolf, whodunit, power outage, based on video game, blizzard, lycanthrope, pipeline"
Pleasure,6.272,738,393824,"pornography, female friendship, porn star, female protagonist, los angeles, california, porn industry, porn actress, woman director, sexual assault, intimate, absurd, disgusted"
Palmer,8.142,1833,0,"small town, homophobia, young boy, ex-con, house trailer, bullied, irresponsible parent, adult child friendship, guardianship, drug addict"
Snake Eyes: G.I. Joe Origins,6.5,1658,36964325,"prequel, ninja, based on cartoon, based on toy, spin off, origin of hero, gi joe, female fighter, action hero, female warrior, based on tv series"
"Batman: The Long Halloween, Part Two",7.4,559,0,"holiday, superhero, halloween, aftercreditsstinger"
The School of the Magical Animals,6.247,91,22028248,"school, magical creature"
Sanjulián: el poder de la ilustración,5.0,1,0,"sibling relationship, cinema on cinema, illustrator, biography, portrait of an artist, father son relationship, spanish painter, spanish art, sitges, spain"
The Ice Road,6.779,1839,7502846,"truck, truck driver, mine explosion, manitoba, ice road"
All Too Well: The Short Film,8.1,279,0,"music video, break-up, love affair, heartbreak, boyfriend girlfriend relationship, remembrance"
The Vault,6.815,1033,8804000,"madrid, spain, world cup, heist, bank vault, treasure hunter, treasure heist"
A Quiet Place Part II,7.449,7095,297372261,"new york city, island, post-apocalyptic future, radio transmission, alien life-form, death of father, child in peril, sequel, alien, flashback, psychological thriller, creature, alien invasion, parenting, family, survival horror, alien monster, human vs alien, sign languages, alien attack, hostile, hearing impaired, newborn baby, anxious, dreary, suspenseful, tense, frightened"
Judas and the Black Messiah,7.3,1636,6416063,"chicago, illinois, assassination, black panther party, based on true story, betrayal, betrayal by friend, hard, 1960s, african american history, rainbow coalition, awestruck, exhilarated"
"Carceller, the Man Who Died Twice",7.5,2,0,"based on novel or book, fascism, freedom of speech, black humor, spanish civil war (1936-39), franco regime (francoism), historical figure, docudrama, valencia, spain, cartoonist, spanish second republic (1931-39), media mogul, political repression, spanish history, anti-fascism, spanish republican, satirical magazine, exiled spanish republican, spanish literature, spanish art, press cartoons, spanish politics"
The United States vs. Billie Holiday,6.5,289,0,"war on drugs, new orleans, louisiana, jazz singer or musician, ban from profession, biography, surveillance, heroin addiction, 1940s, 1950s, fbi agent"
Das Boot Revisited: An Underwater Success Story,7.2,6,0,"submarine, cinema on cinema, filmmaking, cinema history, german cinema, german history"
A Classic Horror Story,5.8,1013,0,"italy, cult, unwanted pregnancy, snuff film, rv, violence"
John and the Hole,5.3,148,25386,"massachusetts, bunker, family relationships, coming of age, teenage boy, based on short story, abduction"
The Card Counter,6.121,1041,5040860,"casino, gambling, motel, iraq, military prison, flashback, revenge, murder, atlantic city, torture, poker game, biting, interrogation, cynical, guilt, gambler, ex soldier, character study, haunted by the past, meditative, detached, aggressive, hopeless, grim, somber, reflective, incarceration, dreary, introspective, panama city, provocative, absurd, violence, critical, tense, bitter, admiring, adoring, ambiguous, antagonistic, approving, audacious, cruel, foreboding"
Godzilla vs. Kong,7.555,10396,470116094,"giant monster, dinosaur, creature feature, kaiju, sign languages, giant ape, godzilla, robot dinosaur, king kong"
Don't Look Up,7.067,8940,791863,"artificial intelligence (a.i.), the white house, asteroid, climate change, satire, global warming, comet, end of the world, social commentary, social satire, meteorite, astronomer, disaster, teacher student relationship, denial, mass hysteria, aftercreditsstinger, duringcreditsstinger, amused"
Barb & Star Go to Vista Del Mar,5.981,258,0,"florida, vacation, friends, duringcreditsstinger"
Wagner - Das Rheingold (Deutsche Oper Berlin),0.0,0,0,opera
Playground,7.0,171,0,"bullying, elementary school, school, woman director, kids, brother sister relationship"
1000 Miles From Christmas,6.3,124,0,christmas
The Wedding Pact 2: The Baby Pact,5.2,4,0,sequel
SK8 the Infinity - The Stage: The First Part ～Atsui yoru no hajimari～,10.0,2,0,"skateboarding, based on anime"
The Spine of Night,5.9,94,0,"rotoscoping, adult animation, high fantasy, cosmic horror, graphic violence"
Red Notice,6.751,6197,178143,"fbi, interpol, cleopatra, heist, art thief"
Too Soon: Comedy After 9/11,5.0,3,0,"dark comedy, post 9/11"
Raya and the Last Dragon,7.814,7109,130423032,"kung fu, sword, warrior woman, female protagonist, dragon, vietnamese, south asian, warrior"
The Treasure of His Youth: The Photographs of Paolo Di Paolo,7.0,2,0,"cinema on cinema, biography, fashion photographer, portrait of an artist, press photographer"
8 Presidentes 1 Juramento: A História de um Tempo Presente,8.0,3,0,"politics, politician, historical"
Army of the Dead,6.229,4267,190700000,"casino, tiger, vault, mercenary, safe, heist, zombie animals, apocalypse, zombie, las vegas, widower, safecracker, booby trap, casino owner, walled city, zombie apocalypse, father daughter conflict, father daughter relationship, casino heist, assertive, 活死人军团, 亡者之师"
DC Showcase: Blue Beetle,5.978,45,0,"superhero, short film"
The Sadness,6.8,1030,0,"rape, mass murder, cruelty, virus, pandemic, depraved, cannibalism, fight for survival"
