title,vote_average,vote_count,revenue,keywords
The Monuments Men,6.064,3720,154984035,"nazi, world war ii, art theft, post world war ii"
Interstellar,8.464,38394,746606706,"rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, hibernation, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, space adventure, time paradox, cryonics, father daughter relationship, 2060s, cornfield, time manipulation"
The Secret to My Silky Skin,4.5,4,0,"based on manga, gay erotica, gay theme"
Black Butler: Book of Murder,8.0,61,0,"detective, butler, supernatural, victorian england, based on manga, anime, original video animation (ova)"
Dawn of the Planet of the Apes,7.334,11927,710644566,"san francisco, california, peace, solidarity, gorilla, intelligence, dystopia, horse, post-apocalyptic future, pacifism, animal attack, colony, tank, forest, sequel, woods, anthropomorphism, dam, revenge, betrayal, golden gate bridge, explosion, ape, scientist, orangutan, death, chimpanzee, medical research, primate, dead horse, allegorical, sign languages, virus, plague, assassination attempt, shocking, aggressive, murder by gunshot, contagion, guns, soldiers, 2030s, animal human friendship, war, cgi-live action hybrid, violence against animals, war horse, intense, depressing, bitter, bold, powerful, horse riding"
Whiplash,8.375,16120,50307484,"new york city, jazz, musician, obsession, music teacher, conservatory, drums, montage, perfectionist, perfection, public humiliation, jazz band, young adult, music school, verbal abuse, emotional abuse, based on short film, psychological drama, intense, drummer"
Transformers: Age of Extinction,5.955,8535,1104054072,"sequel, alien, on the run, based on toy, giant robot, robot, metal"
The Hobbit: The Battle of the Five Armies,7.33,14936,956019788,"gold, corruption, based on novel or book, elves, dwarf, mine, mountain, sequel, troll, dragon, battle, unlikely friendship, fantasy world, wizard, epic battle, ring, invisibility, live action and animation, high fantasy, sword and sorcery, dreary, good versus evil, bewildered, armies"
How to Train Your Dragon 2,7.677,10137,621537519,"rescue, husband wife relationship, sacrifice, parent child relationship, loss of loved one, affectation, villain, melancholy, vikings (norsemen), sequel, dragon, mourning, nostalgic, warrior, mysterious, philosophical, reflective, mother son relationship, loving, dreary, inspirational, wistful, intimate, understated, dramatic, sentimental, witty, hilarious, intense, sinister, romantic, whimsical, admiring, adoring, amused, apathetic, appreciative, awestruck, bewildered, celebratory, comforting, commanding, compassionate, empathetic, enthusiastic, euphoric, excited, exhilarated, familiar, optimistic, sincere, sympathetic, tragic, vibrant"
The Maze Runner,7.191,17726,348319861,"based on novel or book, escape, dystopia, maze, post-apocalyptic future, memory loss, trapped, based on young adult novel"
The Amazing Spider-Man 2,6.525,13860,708962323,"experiment, obsession, superhero, based on comic, sequel, electrocution, super power"
Fury,7.54,12599,211817906,"hero, nazi, ambush, bravery, world war ii, heroism, tank, europe, execution, battle, brutality, cynical, hatred, tank battle, 1940s, enclosed space, beating the odds, european theatre, intense, tanks"
Obsessed,6.682,77,0,"vietnam war, military base, love affair, 1960s, korean army"
The Equalizer,7.282,9614,192330738,"assassin, corruption, hitman, call girl, sadism, hostage, gangster, fbi, gore, remake, sociopath, revenge, vigilante, organized crime, teenage prostitute, commando, interrogation, surveillance, fake death, ex soldier, loner, black ops, hand to hand combat, mysterious past, vigilante justice"
A Most Violent Year,6.609,1491,12007070,"new york city, immigrant, husband wife relationship, corruption, capitalism, winter, american dream, business ethics, truck, oil, lawyer, loan shark, coat, tunnel, 1980s, truck hijacking, bank loan"
The Last: Naruto the Movie,7.456,2349,19840000,"martial arts, ninja, martial artist, shounen, anime"
The Imitation Game,8.0,17681,233555708,"england, homophobia, world war ii, mathematician, genius, biography, male homosexuality, code breaking, lgbt, logician, cryptography, math genius, gay theme, codes, suspenseful, tragic"
The Hunger Games: Mockingjay - Part 1,6.816,16417,755356711,"based on novel or book, resistance, dystopia, post-apocalyptic future, sequel, female protagonist, bow and arrow, game, future war, revolt, class prejudice, human subjugation, based on young adult novel, depressing"
