title,vote_average,vote_count,revenue,keywords
It,7.238,19879,704242888,"small town, based on novel or book, clown, bullying, abandoned house, coming of age, flashback, murder, balloon, maine, school, creature, fear, summer, killer, missing person, death of brother, well, kids, demonic, town history, monster horror"
Japanese Mom,6.6,62,0,"softcore, depressed, romantic"
Coco,8.2,20480,814641172,"skeleton, mexico, guitar, afterlife, musician, holiday, villain, singer, murderer, life after death, kids, day of the dead, music, boy"
Spider-Man: Homecoming,7.329,22660,880166924,"high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), enthusiastic"
Wonder Woman,7.214,20569,823970682,"island, hero, strong woman, world war i, empowerment, superhero, feminism, greek mythology, based on comic, female protagonist, period drama, super power, heroine, woman director, female empowerment, 1910s, dc extended universe (dceu)"
Valerian and the City of a Thousand Planets,6.63,7785,225973340,"future, shapeshifting, space travel, utopia, based on comic, alien, alien planet, energy, alien abduction, genocide, parallel world, political intrigue , pacifist, space opera, military, government agent, marketplace, trapped in space, federal government, unity, cosmopolis"
Blade Runner 2049,7.587,14588,259239658,"future, android, bounty hunter, artificial intelligence (a.i.), genetics, dystopia, sequel, cyberpunk, los angeles, california, las vegas, tech noir, meditative, human clone, blade runner, 2040s, cautionary, introspective, audacious, compassionate, dystopian sci-fi"
Daddy's Home 2,6.31,2658,180613180,"holiday, sequel, christmas, father son relationship, amused, cheerful, holiday get-together, step parents"
Marrowbone,7.275,1742,12294931,"beach, sibling relationship, library, rifle, abandoned house, flashback, murder, mental illness, attic, morse code, 1960s, thoughtful, orphan siblings, fear of mirrors, suspenseful, intense, distressing, frightened, horrified, tragic"
John Wick: Chapter 2,7.34,13829,171539887,"martial arts, assassin, hitman, italy, roof, secret organization, sequel, revenge, shootout, dog, handshake, neo-noir, guns, dark, cliché, roof-top"
Guardians of the Galaxy Vol. 2,7.6,22443,863756051,"superhero, based on comic, sequel, misfit, space, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), egotistical"
Lady Bird,7.254,8840,79000000,"friendship, loss of virginity, coming of age, teen angst, high school graduation, teenage girl, best friend, loss of job, high school student, catholic school, first love, semi autobiographical, sacramento, woman director, father daughter relationship, mother daughter relationship, college applications, anxious, 2000s"
Beauty and the Beast,6.969,15843,1266115964,"france, magic, fairy tale, transformation, cartoon, castle, musical, remake, curse, creature, 18th century, beast, live action and animation, live action remake, fairy-tale adaptation"
The Power of the Present,8.5,14,0,"special feature, power rangers, mighty morphin power rangers, blu-ray extra"
Call Me by Your Name,8.101,12508,43143046,"based on novel or book, upper class, italy, swimming pool, coming of age, love, breaking the fourth wall, summer, teenage boy, masturbation, first love, lgbt, jewish family, 1980s, gay theme"
Thor: Ragnarok,7.583,21559,855301806,"superhero, based on comic, sequel, alien planet, female villain, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), norse god"
Logan,7.82,19988,619021436,"future, experiment, immortality, self-destruction, cyborg, dystopia, superhero, mutant, road trip, based on comic, sequel, super power, neo-western, troubled past, aging superhero, life on the margin, antagonistic"
The Ambiguous Focus,6.5,10,0,"infidelity, based on novel or book, mature, angst, gay relationship, boys' love (bl), sexual content"
Girls Trip,6.824,1543,140376621,"concert, female friendship, hallucinogenic drug, festival, public urination, college friends, party, cheating husband, girls trip"
Atomic Blonde,6.431,6466,100014025,"berlin, germany, undercover agent, undercover, germany, spy, cold war, stasi, bisexuality, vodka, kgb, europe, double agent, based on comic, murder, mi6, murder investigation, ddr"
Justice League,6.074,13407,661326987,"superhero, based on comic, super power, superhero team, aftercreditsstinger, duringcreditsstinger, dc extended universe (dceu)"
Buster's Mal Heart,6.1,302,73121,"on the run, mountain man, authorities"
Mother's Job,5.8,15,0,softcore
Cars 3,6.855,6208,383925276,"sports, trainer, villain, sequel, anthropomorphism, travel, racing, high tech, aftercreditsstinger, cars"
What Happened to Monday,7.155,6305,27975429,"chase, dystopia, investigation, fake identity, overpopulation, betrayal, conspiracy, execution, alternative reality, population control, secrecy, septuplets, 2070s, suspenseful, intense, authoritarian"
Iceman,6.2,124,0,"primitive time, revenge, survival, prehistoric man, neolithic"
The Babysitter,6.172,3793,0,"babysitter, bully, crush, corpse, satanic ritual, satanic cult, spin the bottle, awestruck"
Promise at Dawn,7.242,504,9242157,"based on novel or book, based on memoir or autobiography, french air force, french actress, biographical drama, french actor, famous actor"
xXx: Return of Xander Cage,6.134,9134,346118277,"airplane, tattoo, spy, extreme sports, parachute, secret agent, swimming pool, sequel, back from the dead, dominican republic, frantic, free fall, intense"
Diary of a Wimpy Kid: The Long Haul,5.3,509,40120144,"road trip, based on children's book, family, disrespectful, dubious"
Finding Santa,6.7,98,0,christmas
The Fate of the Furious,6.859,10625,1236000000,"new york city, submarine, rescue mission, sequel, street race, betrayal, criminal mastermind, mysterious woman, cars, bold"
The Greatest Showman,7.87,9827,459066134,"adultery, circus, musical, biography, rags to riches, based on true story, outcast, singing, dreamer, freak show, absurd, amused, cliché, complicated"
It,10.0,2,0,"woman director, short film"
Rabbit School: Guardians of the Golden Egg,6.0,22,3416299,"rabbit, animals"
Get Out,7.621,18352,255407969,"kidnapping, externally controlled action, manipulation, dark comedy, hypnosis, parents-in-law, satire, racist, revenge, interracial relationship, disappearance, racism, psychological thriller, neurosurgeon, missing person, stereotype, brain surgery, satirical, race-conscious, frightened, hipnotismo"
Life Boat,7.8,5,0,short film
The Florida Project,7.429,2982,11303040,"florida, friendship, parent child relationship, drug addiction, innocence, motel, drug use, summer, single mother, social services, prostitute mother, children's perspectives, kids, orlando florida, generation z, lower class, peer relationship, mother daughter relationship, unfit mother, non-professional acting"
See You Up There,7.829,1332,15100000,"mask, banker, paris, france, world war i, painter, post world war i, orphan, graveyard, sculptor, swindle, no man's land, gay theme"
Laali Ki Shaadi Mein Laaddoo Deewana,0.0,0,0,"comedian, musical"
Pirates of the Caribbean: Dead Men Tell No Tales,6.7,12510,795922298,"treasure map, artifact, pirate, swashbuckler, ghost, caribbean sea, trident, treasure hunting"
Despicable Me 3,6.464,7471,1034800131,"prison, villain, twin brother, sequel, jail, illumination, 3d animation"
The Last Prosecco,5.8,116,0,"venice, italy, italy, vineyard, wine, murder, murder mystery"
Better Watch Out,6.665,1581,176288,"holiday, spider, murder, snowman, snow, home invasion, truth or dare, christmas lights, christmas horror, christmas"
"Cinecittà Babilonia: Sex, Drugs and Black Shirts",6.5,4,0,"rome, italy, cinema on cinema, world war ii, italian history, 1940s, self-censorship, 1930s, cinema history, film censorship, italian fascism"
A Stranger with My Kids,5.5,28,0,"male nanny, psycho nanny, manny"
Star Wars: The Last Jedi,6.764,15946,1332698830,"bunker, space battle, defeat, failure, sequel, blunt, space opera, military operation, absurd"
The Man with the Iron Heart,6.555,800,4412639,"assassination, based on novel or book, nazi, world war ii, operation anthropoid, czech history, assassination of reinhard heydrich (1942)"
Baby Driver,7.445,16419,226945087,"robbery, waitress, atlanta, crime boss, romance, heist, getaway car, on the run, shootout, bank robbery, getaway driver, sign languages, armed robbery, hearing impaired, music, joyful, urgent"
A Family for the Holidays,6.4,5,0,christmas
Never Be Boring: Billy Wilder,7.3,3,0,"movie business, biography, vienna, austria, hollywood history, portrait of a filmmaker"
The Wrong Babysitter,5.1,18,0,bound and gagged
Professor Marston and the Wonder Women,7.174,911,1600000,"comic book, biography, polyamory, bdsm, censorship, freedom of expression"
Brawl in Cell Block 99,6.969,1512,64453,"prison, fight, kidnapping, pregnancy, boxer, gore, prison warden, revenge, murder, doctor, interrogation, inmate, police shootout, aggressive, drug runner, crystal meth, crushed head, vindictive, maximum security prison, tense, baffled"
Springfield of Dreams: The Legend of Homer Simpson,8.5,8,0,"baseball, mockumentary, tv special"
Voor Elkaar Gemaakt,5.8,12,0,"remake, infertility"
Split,7.342,17994,278454358,"child abuse, philadelphia, pennsylvania, kidnapping, gore, sequel, stalking, teenage girl, super power, mental illness, split personality, multiple personality, traumatic childhood, dissociative identity disorder, psychological horror, bitter, defiant"
The Tailor,6.1,7,0,"designer, time travel, fashion"
Sharknado 5: Global Swarming,4.8,340,0,"cataclysm, tornado, shark attack, time travel, sequel, spoof, chainsaw, shark, absurdist"
The Fox - Traces of Coal Dust,5.0,1,0,woman director
Kong: Skull Island,6.55,10890,566652812,"vietnam veteran, island, monster, 1970s, expedition, giant monster, giant spider, creature, spin off, u.s. soldier, giant animal, kaiju, aftercreditsstinger, giant ape, monster island, water buffalo, uncharted, king kong"
Transformers: The Last Knight,6.055,6545,605425157,"england, chosen one, based on toy, knight, planet, robot, duringcreditsstinger, planet earth, arthurian mythology, secret history"
Vengeance: A Love Story,5.6,329,14940116,"based on novel or book, niagara falls, rape and revenge, sexual assault, criminal lawyer, criminal trial, mother daughter relationship, traumatized woman"
Stewart & Mitchum: The Two Faces of America,6.0,1,0,"movie business, hollywood, parallel lives, hollywood star"
Marine le Pen - The Last March?,8.0,1,0,"france, politics, national front, far right, 2000s, 2010s"
C'est la vie!,7.017,1541,23800000,"paris, france, wedding planner, marriage, wedding party, bride and groom, catering"
The Little Vampire 3D,6.1,164,0,"friendship, vampire"
Stories Our Cinema Did (Not) Tell,6.179,14,0,"1970s, military dictatorship, brazilian politics"
Ferdinand,7.2,3006,295038508,"friendship, spain, madrid, spain, europe, anthropomorphism, remake, bull, based on children's book, capture, joyous, adoring, assertive, cheerful, empathetic, enthusiastic, excited"
"Mozart: Requiem KV 626 – Chor und Symphonieorchester des Bayerischen Rundfunks, Mariss Jansons",0.0,0,0,"classical music, mozart, requiem"
The Outlaws,7.7,491,52946454,"police, detective, gang, illegal alien, 2000s, korean chinese, seoul, south korea"
Pitch Perfect 3,6.5,3403,185400345,"sequel, singer, acapella, uso, cliché"
Goon: Last of the Enforcers,5.7,338,124875,"ice hockey, playful, cheerful, doubtful, dubious"
All I See Is You,5.214,605,646946,"husband wife relationship, barcelona, spain, married couple, bangkok, thailand, thailand, blonde, surgical operation, regaining sight, blind woman"
"The Prince Story: Icon, Genius... Slave",0.0,0,0,"musician, prince, record producer, singer, american, actor, prince rogers nelson, the artist formerly known as prince"
Along with the Gods: The Two Worlds,8.0,1135,125983972,"afterlife, hell, trial, based on comic, god, grim reaper, bromance, myth, based on webcomic or webtoon"
August 28: A Day in the Life of a People,1.0,1,0,"woman director, black history"
Harry Potter: A History Of Magic,7.3,93,0,"magic, sorcery, wizard, psychotronic filmmaking, artefacts"
Annabelle: Creation,6.605,5873,306592201,"halloween, prequel, evil doll, demon, spin off, demonic possession, ghost, aftercreditsstinger, duringcreditsstinger, the conjuring universe"
